,instrument_id,data_vendor_id,Holder,Shares,date_reported,percent_out,Value,refreshed_at
0,153,2,"Vanguard Group, Inc. (The)",47162779,2017-12-30 00:00:00,7.23%,3823486479,2018-07-03 00:35:44
1,153,2,Blackrock Inc.,45032247,2017-12-30 00:00:00,6.90%,3650764250,2018-07-03 00:35:44
2,153,2,State Street Corporation,30797766,2017-12-30 00:00:00,4.72%,2496774880,2018-07-03 00:35:44
3,153,2,"Wellington Management Company, LLP",26596278,2017-12-30 00:00:00,4.08%,2156160249,2018-07-03 00:35:44
4,153,2,Capital Research Global Investors,25332382,2017-12-30 00:00:00,3.88%,2053696201,2018-07-03 00:35:44
5,153,2,Bank of America Corporation,21637097,2017-12-30 00:00:00,3.32%,1754119447,2018-07-03 00:35:44
6,153,2,"Franklin Resources, Inc",19358639,2017-12-30 00:00:00,2.97%,1569404857,2018-07-03 00:35:44
7,153,2,Capital World Investors,17627907,2017-12-30 00:00:00,2.70%,1429094415,2018-07-03 00:35:44
8,153,2,Invesco Ltd.,10005080,2017-12-30 00:00:00,1.53%,811111832,2018-07-03 00:35:44
9,153,2,"Federated Investors, Inc.",9007941,2017-12-30 00:00:00,1.38%,730273774,2018-07-03 00:35:44
0,153,2,Vanguard Total Stock Market Index Fund,14506917,2017-06-29 00:00:00,2.22%,1130088856,2018-07-03 00:35:44
1,153,2,Franklin Custodian Funds-Income Fund,12000000,2017-06-29 00:00:00,1.84%,934800018,2018-07-03 00:35:44
2,153,2,Vanguard/Wellington Fund Inc.,10789030,2017-08-30 00:00:00,1.65%,864632857,2018-07-03 00:35:44
3,153,2,Vanguard 500 Index Fund,9966417,2017-06-29 00:00:00,1.53%,776383899,2018-07-03 00:35:44
4,153,2,"Capital Income Builder, Inc.",9331308,2017-12-30 00:00:00,1.43%,756489136,2018-07-03 00:35:44
5,153,2,Washington Mutual Investors Fund,8501000,2017-12-30 00:00:00,1.30%,689176067,2018-07-03 00:35:44
6,153,2,SPDR S&P 500 ETF Trust,8143404,2018-01-30 00:00:00,1.25%,611488176,2018-07-03 00:35:44
7,153,2,Investment Company Of America,7723824,2017-12-30 00:00:00,1.18%,626170409,2018-07-03 00:35:44
8,153,2,Income Fund of America Inc,7590000,2017-12-30 00:00:00,1.16%,615321297,2018-07-03 00:35:44
9,153,2,Select Sector SPDR Fund-Utilities,7333841,2018-01-30 00:00:00,1.12%,550698093,2018-07-03 00:35:44
