,instrument_id,data_vendor_id,Holder,Shares,date_reported,percent_out,Value,refreshed_at
0,162,2,"Vanguard Group, Inc. (The)",24952013,2017-12-30 00:00:00,7.06%,1933781007,2018-07-03 00:39:04
1,162,2,Blackrock Inc.,23915199,2017-12-30 00:00:00,6.76%,1853427922,2018-07-03 00:39:04
2,162,2,State Street Corporation,16932863,2017-12-30 00:00:00,4.79%,1312296882,2018-07-03 00:39:04
3,162,2,Capital World Investors,13550005,2017-12-30 00:00:00,3.83%,1050125387,2018-07-03 00:39:04
4,162,2,"FMR, LLC",12701140,2017-12-30 00:00:00,3.59%,984338350,2018-07-03 00:39:04
5,162,2,Boston Partners,12199859,2017-12-30 00:00:00,3.45%,945489072,2018-07-03 00:39:04
6,162,2,Primecap Management Company,11132025,2017-12-30 00:00:00,3.15%,862731937,2018-07-03 00:39:04
7,162,2,Diamond Hill Capital Management Inc,7257789,2017-12-30 00:00:00,2.05%,562478647,2018-07-03 00:39:04
8,162,2,Lsv Asset Management,6898150,2017-12-30 00:00:00,1.95%,534606625,2018-07-03 00:39:04
9,162,2,"Hotchkis & Wiley Capital Management, LLC",5704100,2017-12-30 00:00:00,1.61%,442067750,2018-07-03 00:39:04
0,162,2,Vanguard Total Stock Market Index Fund,8827119,2017-06-29 00:00:00,2.50%,539072154,2018-07-03 00:39:04
1,162,2,Fundamental Investors Inc,8400000,2017-12-30 00:00:00,2.38%,651000000,2018-07-03 00:39:04
2,162,2,Vanguard 500 Index Fund,5998768,2017-06-29 00:00:00,1.70%,366344759,2018-07-03 00:39:04
3,162,2,Washington Mutual Investors Fund,5627200,2017-12-30 00:00:00,1.59%,436108000,2018-07-03 00:39:04
4,162,2,SPDR S&P 500 ETF Trust,4619766,2018-01-30 00:00:00,1.31%,375633162,2018-07-03 00:39:04
5,162,2,Vanguard Institutional Index Fund-Institutional Index Fund,4168617,2017-06-29 00:00:00,1.18%,254577438,2018-07-03 00:39:04
6,162,2,Select Sector SPDR Fund-Financial,3493836,2018-01-30 00:00:00,0.99%,284083796,2018-07-03 00:39:04
7,162,2,John Hancock Fds III-Disciplined Value Mid Cap Fd,3450199,2018-01-30 00:00:00,0.98%,280535672,2018-07-03 00:39:04
8,162,2,Primecap Odyssey Stock Fund,2882000,2017-12-30 00:00:00,0.82%,223355000,2018-07-03 00:39:04
9,162,2,Diamond Hill Large Cap Fund,2776750,2017-09-29 00:00:00,0.79%,177878598,2018-07-03 00:39:04
