,instrument_id,data_vendor_id,Holder,Shares,date_reported,percent_out,Value,refreshed_at
0,164,2,"Vanguard Group, Inc. (The)",35571264,2017-12-30 00:00:00,9.46%,1826228699,2018-07-03 00:39:48
1,164,2,Blackrock Inc.,30757940,2017-12-30 00:00:00,8.18%,1579112644,2018-07-03 00:39:48
2,164,2,State Street Corporation,15346583,2017-12-30 00:00:00,4.08%,787893573,2018-07-03 00:39:48
3,164,2,"Sanders Capital, Llc",15081557,2017-12-30 00:00:00,4.01%,774287138,2018-07-03 00:39:48
4,164,2,"Senator Investment Group, LP",13500000,2017-12-30 00:00:00,3.59%,693090002,2018-07-03 00:39:48
5,164,2,"FMR, LLC",12608100,2017-12-30 00:00:00,3.35%,647299855,2018-07-03 00:39:48
6,164,2,"Long Pond Capital, LP",10583876,2017-12-30 00:00:00,2.82%,543376195,2018-07-03 00:39:48
7,164,2,"Greenhaven Associates, Inc.",8189482,2017-12-30 00:00:00,2.18%,420448007,2018-07-03 00:39:48
8,164,2,Bank of America Corporation,7257344,2017-12-30 00:00:00,1.93%,372592042,2018-07-03 00:39:48
9,164,2,"Goldman Sachs Group, Inc.",5898054,2017-12-30 00:00:00,1.57%,302806093,2018-07-03 00:39:48
0,164,2,Vanguard Mid-Cap Index Fund,8821340,2017-06-29 00:00:00,2.35%,297896655,2018-07-03 00:39:48
1,164,2,Vanguard Total Stock Market Index Fund,8166922,2017-06-29 00:00:00,2.17%,275796959,2018-07-03 00:39:48
2,164,2,iShares U.S. Home Construction ETF,5508354,2018-01-30 00:00:00,1.47%,266163663,2018-07-03 00:39:48
3,164,2,Vanguard 500 Index Fund,5390095,2017-06-29 00:00:00,1.43%,182023510,2018-07-03 00:39:48
4,164,2,Vanguard/Windsor II,4784156,2017-07-30 00:00:00,1.27%,171511985,2018-07-03 00:39:48
5,164,2,Vanguard/Windsor Fund Inc.,4360000,2017-07-30 00:00:00,1.16%,156305993,2018-07-03 00:39:48
6,164,2,SPDR S&P 500 ETF Trust,4286345,2018-01-30 00:00:00,1.14%,207116189,2018-07-03 00:39:48
7,164,2,Growth Fund Of America Inc,4000000,2017-12-30 00:00:00,1.06%,205360000,2018-07-03 00:39:48
8,164,2,Vanguard Institutional Index Fund-Institutional Index Fund,3747459,2017-06-29 00:00:00,1.00%,126551692,2018-07-03 00:39:48
9,164,2,Fidelity Low-Priced Stock Fund,3185073,2017-10-30 00:00:00,0.85%,141130589,2018-07-03 00:39:48
