,instrument_id,data_vendor_id,Holder,Shares,date_reported,percent_out,Value,refreshed_at
0,165,2,"Hotchkis & Wiley Capital Management, LLC",21309461,2017-12-30 00:00:00,13.69%,480528329,2018-07-03 00:40:10
1,165,2,"ClearBridge Investments, LLC",18325805,2017-12-30 00:00:00,11.78%,413246888,2018-07-03 00:40:10
2,165,2,"Vanguard Group, Inc. (The)",16072565,2017-12-30 00:00:00,10.33%,362436328,2018-07-03 00:40:10
3,165,2,Blackrock Inc.,10033075,2017-12-30 00:00:00,6.45%,226245833,2018-07-03 00:40:10
4,165,2,Capital Research Global Investors,8698115,2017-12-30 00:00:00,5.59%,196142486,2018-07-03 00:40:10
5,165,2,Bank Of New York Mellon Corporation,7737035,2017-12-30 00:00:00,4.97%,174470133,2018-07-03 00:40:10
6,165,2,State Street Corporation,7667424,2017-12-30 00:00:00,4.93%,172900405,2018-07-03 00:40:10
7,165,2,"FMR, LLC",5003496,2017-12-30 00:00:00,3.22%,112828830,2018-07-03 00:40:10
8,165,2,"Shapiro Capital Management Company, Inc.",4252960,2017-12-30 00:00:00,2.73%,95904244,2018-07-03 00:40:10
9,165,2,New South Capital Management Inc,4247226,2017-12-30 00:00:00,2.73%,95774943,2018-07-03 00:40:10
0,165,2,Legg Mason Clearbridge Aggressive Growth Fd,7942226,2017-12-30 00:00:00,5.10%,179097190,2018-07-03 00:40:10
1,165,2,Vanguard/Windsor II,5360500,2017-07-30 00:00:00,3.44%,143661395,2018-07-03 00:40:10
2,165,2,Vanguard Mid-Cap Index Fund,3802291,2017-06-29 00:00:00,2.44%,99353860,2018-07-03 00:40:10
3,165,2,Vanguard Total Stock Market Index Fund,3507586,2017-06-29 00:00:00,2.25%,91653219,2018-07-03 00:40:10
4,165,2,Vanguard 500 Index Fund,2378790,2017-06-29 00:00:00,1.53%,62157780,2018-07-03 00:40:10
5,165,2,Fidelity Series Intrinsic Opportunities Fund,2300000,2017-10-30 00:00:00,1.48%,43653998,2018-07-03 00:40:10
6,165,2,SPDR S&P 500 ETF Trust,1882665,2018-01-30 00:00:00,1.21%,48779849,2018-07-03 00:40:10
7,165,2,Fidelity Low-Priced Stock Fund,1784130,2017-10-30 00:00:00,1.15%,33862786,2018-07-03 00:40:10
8,165,2,Hotchkis and Wiley Mid-Cap Value Fund,1752500,2017-09-29 00:00:00,1.13%,37626173,2018-07-03 00:40:10
9,165,2,Vanguard Institutional Index Fund-Institutional Index Fund,1695868,2017-06-29 00:00:00,1.09%,44313029,2018-07-03 00:40:10
