,instrument_id,data_vendor_id,Holder,Shares,date_reported,percent_out,Value,refreshed_at
0,475,2,"Vanguard Group, Inc. (The)",20644274,2017-12-30 00:00:00,9.39%,439310164,2018-07-03 02:36:40
1,475,2,Brown Brothers Harriman & Co,17775842,2017-12-30 00:00:00,8.09%,378269929,2018-07-03 02:36:40
2,475,2,Blackrock Inc.,13617520,2017-12-30 00:00:00,6.20%,289780834,2018-07-03 02:36:40
3,475,2,Wisconsin (State Of) Investment Board,13528070,2017-12-30 00:00:00,6.16%,287877338,2018-07-03 02:36:40
4,475,2,"Hotchkis & Wiley Capital Management, LLC",11453035,2017-12-30 00:00:00,5.21%,243720592,2018-07-03 02:36:40
5,475,2,State Street Corporation,8782010,2017-12-30 00:00:00,4.00%,186881178,2018-07-03 02:36:40
6,475,2,"Chieftain Capital Management, Inc.",6520760,2017-12-30 00:00:00,2.97%,138761777,2018-07-03 02:36:40
7,475,2,"Thompson, Siegel & Walmsley LLC",4472501,2017-12-30 00:00:00,2.03%,95174824,2018-07-03 02:36:40
8,475,2,Seizert Capital Partners LLC,4385461,2017-12-30 00:00:00,2.00%,93322613,2018-07-03 02:36:40
9,475,2,"Goldman Sachs Group, Inc.",4219613,2017-12-30 00:00:00,1.92%,89793367,2018-07-03 02:36:40
0,475,2,Vanguard Mid-Cap Index Fund,5263106,2017-06-29 00:00:00,2.39%,133630258,2018-07-03 02:36:40
1,475,2,Vanguard Total Stock Market Index Fund,4927516,2017-06-29 00:00:00,2.24%,125109628,2018-07-03 02:36:40
2,475,2,BBH Core Select Fund,3861263,2017-07-30 00:00:00,1.76%,98462206,2018-07-03 02:36:40
3,475,2,Vanguard 500 Index Fund,3375207,2017-06-29 00:00:00,1.54%,85696503,2018-07-03 02:36:40
4,475,2,Legg Mason Clearbridge Aggressive Growth Fd,2824449,2017-12-30 00:00:00,1.29%,60104276,2018-07-03 02:36:40
5,475,2,SPDR S&P 500 ETF Trust,2712549,2018-01-30 00:00:00,1.23%,66999962,2018-07-03 02:36:40
6,475,2,Vanguard Institutional Index Fund-Institutional Index Fund,2311637,2017-06-29 00:00:00,1.05%,58692462,2018-07-03 02:36:40
7,475,2,Vanguard Mid-Cap Value Index Fund,1702695,2017-06-29 00:00:00,0.77%,43231425,2018-07-03 02:36:40
8,475,2,Vanguard/Windsor II,1686000,2017-07-30 00:00:00,0.77%,42993000,2018-07-03 02:36:40
9,475,2,Transamerica Mid Cap Value Opportunities Fd,1325100,2017-07-30 00:00:00,0.60%,33790050,2018-07-03 02:36:40
