,instrument_id,data_vendor_id,Holder,Shares,date_reported,percent_out,Value,refreshed_at
0,476,2,JP Morgan Chase & Company,26632029,2017-12-30 00:00:00,11.68%,1274342547,2018-07-03 02:37:01
1,476,2,Putnam Investments LLC,17877448,2017-12-30 00:00:00,7.84%,855435859,2018-07-03 02:37:01
2,476,2,Dodge & Cox Inc,16458596,2017-12-30 00:00:00,7.22%,787543793,2018-07-03 02:37:01
3,476,2,Eagle Capital Management LLC,15487595,2017-12-30 00:00:00,6.79%,741081397,2018-07-03 02:37:01
4,476,2,"Vanguard Group, Inc. (The)",14952686,2017-12-30 00:00:00,6.56%,715486002,2018-07-03 02:37:01
5,476,2,Blackrock Inc.,13797126,2017-12-30 00:00:00,6.05%,660192458,2018-07-03 02:37:01
6,476,2,"Franklin Resources, Inc",9663200,2017-12-30 00:00:00,4.24%,462384105,2018-07-03 02:37:01
7,476,2,State Street Corporation,8788724,2017-12-30 00:00:00,3.85%,420540429,2018-07-03 02:37:01
8,476,2,Invesco Ltd.,5005837,2017-12-30 00:00:00,2.20%,239529292,2018-07-03 02:37:01
9,476,2,"Paulson & Company, Inc.",4176700,2017-12-30 00:00:00,1.83%,199855088,2018-07-03 02:37:01
0,476,2,Putnam Fds Tr-Putnam Capital Spectrum Fd,12370384,2017-07-30 00:00:00,5.42%,790962335,2018-07-03 02:37:01
1,476,2,Dodge & Cox Stock Fund,9727476,2017-09-29 00:00:00,4.27%,518571758,2018-07-03 02:37:01
2,476,2,Vanguard Total Stock Market Index Fund,4965146,2017-06-29 00:00:00,2.18%,316925278,2018-07-03 02:37:01
3,476,2,Franklin Mutual Series Fund-Mutual Global Discovery Fund,4143726,2017-06-29 00:00:00,1.82%,264494038,2018-07-03 02:37:01
4,476,2,Putnam Fds Tr-Putnam Equity Spectrum Fd,3926353,2017-07-30 00:00:00,1.72%,251051005,2018-07-03 02:37:01
5,476,2,Vanguard 500 Index Fund,3586847,2017-06-29 00:00:00,1.57%,228948450,2018-07-03 02:37:01
6,476,2,JP Morgan Value Advantage Fund,3561714,2018-01-30 00:00:00,1.56%,168469069,2018-07-03 02:37:01
7,476,2,JP Morgan Mid Cap Value Fund,3135509,2018-01-30 00:00:00,1.37%,148309573,2018-07-03 02:37:01
8,476,2,Franklin Mutual Series Fund-Mutual Shares Fund,2879437,2017-06-29 00:00:00,1.26%,183794468,2018-07-03 02:37:01
9,476,2,SPDR S&P 500 ETF Trust,2863069,2018-01-30 00:00:00,1.26%,135423161,2018-07-03 02:37:01
