,instrument_id,data_vendor_id,Holder,Shares,date_reported,percent_out,Value,refreshed_at
0,518,2,"Vanguard Group, Inc. (The)",36352722,2017-12-30 00:00:00,17.67%,4145300845,2018-07-03 02:52:33
1,518,2,Blackrock Inc.,20182465,2017-12-30 00:00:00,9.81%,2301406459,2018-07-03 02:52:33
2,518,2,Cohen & Steers Inc.,13533309,2017-12-30 00:00:00,6.58%,1543203208,2018-07-03 02:52:33
3,518,2,State Street Corporation,11645125,2017-12-30 00:00:00,5.66%,1327893589,2018-07-03 02:52:33
4,518,2,Capital World Investors,10385000,2017-12-30 00:00:00,5.05%,1184201537,2018-07-03 02:52:33
5,518,2,Bank of America Corporation,9991701,2017-12-30 00:00:00,4.86%,1139353652,2018-07-03 02:52:33
6,518,2,Daiwa Securities Group Inc.,5990371,2017-12-30 00:00:00,2.91%,683081997,2018-07-03 02:52:33
7,518,2,Apg Asset Management Us Inc.,4735696,2017-12-30 00:00:00,2.30%,540011409,2018-07-03 02:52:33
8,518,2,"FMR, LLC",4240509,2017-12-30 00:00:00,2.06%,483545236,2018-07-03 02:52:33
9,518,2,Capital International Investors,3734357,2017-12-30 00:00:00,1.82%,425828724,2018-07-03 02:52:33
0,518,2,Vanguard Specialized-REIT Index Fund,15214049,2017-07-30 00:00:00,7.39%,1721926070,2018-07-03 02:52:33
1,518,2,Income Fund of America Inc,7885000,2017-12-30 00:00:00,3.83%,899126540,2018-07-03 02:52:33
2,518,2,Vanguard Total Stock Market Index Fund,4658721,2017-06-29 00:00:00,2.26%,543393214,2018-07-03 02:52:33
3,518,2,Vanguard Mid-Cap Index Fund,3948011,2017-06-29 00:00:00,1.92%,460496000,2018-07-03 02:52:33
4,518,2,SPDR S&P 500 ETF Trust,2602733,2018-01-30 00:00:00,1.27%,279455449,2018-07-03 02:52:33
5,518,2,Vanguard 500 Index Fund,2520899,2017-06-29 00:00:00,1.23%,294037657,2018-07-03 02:52:33
6,518,2,American Balanced Fund,2500000,2017-12-30 00:00:00,1.22%,285074996,2018-07-03 02:52:33
7,518,2,DFA Real Estate Securities Portfolio,1902198,2017-07-30 00:00:00,0.92%,215290770,2018-07-03 02:52:33
8,518,2,Vanguard Institutional Index Fund-Institutional Index Fund,1751955,2017-06-29 00:00:00,0.85%,204348030,2018-07-03 02:52:33
9,518,2,Cohen & Steers Realty Shares Incorporated,1631179,2017-06-29 00:00:00,0.79%,190260717,2018-07-03 02:52:33
