,instrument_id,data_vendor_id,Holder,Shares,date_reported,percent_out,Value,refreshed_at
0,167,2,"Vanguard Group, Inc. (The)",23274919,2017-12-30 00:00:00,9.81%,2515320489,2018-07-03 00:40:53
1,167,2,"FMR, LLC",16024259,2017-12-30 00:00:00,6.75%,1731741665,2018-07-03 00:40:53
2,167,2,Blackrock Inc.,14337696,2017-12-30 00:00:00,6.04%,1549474802,2018-07-03 00:40:53
3,167,2,State Street Corporation,9643098,2017-12-30 00:00:00,4.06%,1042129597,2018-07-03 00:40:53
4,167,2,Macquarie Group Limited,6867782,2017-12-30 00:00:00,2.89%,742201198,2018-07-03 00:40:53
5,167,2,JP Morgan Chase & Company,6806141,2017-12-30 00:00:00,2.87%,735539655,2018-07-03 00:40:53
6,167,2,"Wellington Management Company, LLP",5717132,2017-12-30 00:00:00,2.41%,617850453,2018-07-03 00:40:53
7,167,2,"Akre Capital Management, LLC",4840619,2017-12-30 00:00:00,2.04%,523125693,2018-07-03 00:40:53
8,167,2,Adage Capital Partners GP L.L.C.,4191745,2017-12-30 00:00:00,1.77%,453001880,2018-07-03 00:40:53
9,167,2,"Principal Financial Group, Inc.",4098679,2017-12-30 00:00:00,1.73%,442944238,2018-07-03 00:40:53
0,167,2,Vanguard Mid-Cap Index Fund,5561123,2017-06-29 00:00:00,2.34%,384940940,2018-07-03 00:40:53
1,167,2,Vanguard Total Stock Market Index Fund,5147468,2017-06-29 00:00:00,2.17%,356307741,2018-07-03 00:40:53
2,167,2,Delaware Group Equity Funds II- Value Fund,4903158,2017-08-30 00:00:00,2.07%,394115826,2018-07-03 00:40:53
3,167,2,Professionally Managed Portf-Akre Focus Fund,4205100,2017-10-30 00:00:00,1.77%,384514354,2018-07-03 00:40:53
4,167,2,Fidelity OTC Portfolio,3881900,2018-01-30 00:00:00,1.64%,451659059,2018-07-03 00:40:53
5,167,2,Vanguard 500 Index Fund,3735116,2017-06-29 00:00:00,1.57%,258544734,2018-07-03 00:40:53
6,167,2,SPDR S&P 500 ETF Trust,2998616,2018-01-30 00:00:00,1.26%,348888967,2018-07-03 00:40:53
7,167,2,Principal Mid Cap Fund,2782267,2018-01-30 00:00:00,1.17%,323716761,2018-07-03 00:40:53
8,167,2,Fidelity Blue Chip Growth Fund,2683656,2018-01-30 00:00:00,1.13%,312243371,2018-07-03 00:40:53
9,167,2,Vanguard Institutional Index Fund-Institutional Index Fund,2595309,2017-06-29 00:00:00,1.09%,179647292,2018-07-03 00:40:53
