,instrument_id,data_vendor_id,Holder,Shares,date_reported,percent_out,Value,refreshed_at
0,170,2,"Vanguard Group, Inc. (The)",16908509,2017-12-30 00:00:00,10.94%,1715199194,2018-07-03 00:42:01
1,170,2,Blackrock Inc.,10116808,2017-12-30 00:00:00,6.55%,1026249028,2018-07-03 00:42:01
2,170,2,JP Morgan Chase & Company,9370111,2017-12-30 00:00:00,6.06%,950504082,2018-07-03 00:42:01
3,170,2,State Street Corporation,8383094,2017-12-30 00:00:00,5.42%,850381075,2018-07-03 00:42:01
4,170,2,"Pzena Investment Management, LLC",5942675,2017-12-30 00:00:00,3.84%,602824966,2018-07-03 00:42:01
5,170,2,"Franklin Resources, Inc",5781739,2017-12-30 00:00:00,3.74%,586499618,2018-07-03 00:42:01
6,170,2,Bank of America Corporation,5240754,2017-12-30 00:00:00,3.39%,531622098,2018-07-03 00:42:01
7,170,2,Harris Associates L.P.,4685399,2017-12-30 00:00:00,3.03%,475286885,2018-07-03 00:42:01
8,170,2,Wells Fargo & Company,3436445,2017-12-30 00:00:00,2.22%,348592989,2018-07-03 00:42:01
9,170,2,Bank Of New York Mellon Corporation,2770838,2017-12-30 00:00:00,1.79%,281073813,2018-07-03 00:42:01
0,170,2,Franklin Managed Trust - Rising Dividends Fund,4947000,2017-06-29 00:00:00,3.20%,386558576,2018-07-03 00:42:01
1,170,2,Vanguard Mid-Cap Index Fund,3848741,2017-06-29 00:00:00,2.49%,300740619,2018-07-03 00:42:01
2,170,2,Vanguard Total Stock Market Index Fund,3563152,2017-06-29 00:00:00,2.31%,278424695,2018-07-03 00:42:01
3,170,2,JP Morgan Equity Income Fund,2497228,2018-01-30 00:00:00,1.62%,258912599,2018-07-03 00:42:01
4,170,2,Vanguard 500 Index Fund,2454645,2017-06-29 00:00:00,1.59%,191805958,2018-07-03 00:42:01
5,170,2,SPDR S&P 500 ETF Trust,1972562,2018-01-30 00:00:00,1.28%,204515228,2018-07-03 00:42:01
6,170,2,Vanguard Institutional Index Fund-Institutional Index Fund,1710685,2017-06-29 00:00:00,1.11%,133672924,2018-07-03 00:42:01
7,170,2,Vanguard/Windsor Fund Inc.,1596742,2017-07-30 00:00:00,1.03%,134062456,2018-07-03 00:42:01
8,170,2,College Retirement Equities Fund-Stock Account,1407640,2017-06-29 00:00:00,0.91%,109992988,2018-07-03 00:42:01
9,170,2,Vanguard Specialized-Dividend Appreciation Index Fund,1328109,2017-07-30 00:00:00,0.86%,111508030,2018-07-03 00:42:01
