,instrument_id,data_vendor_id,Holder,Shares,date_reported,percent_out,Value,refreshed_at
0,166,2,"Vanguard Group, Inc. (The)",19053100,2017-12-30 00:00:00,10.60%,2088410302,2018-07-03 00:40:32
1,166,2,Blackrock Inc.,15036122,2017-12-30 00:00:00,8.37%,1648109341,2018-07-03 00:40:32
2,166,2,Capital World Investors,9306243,2017-12-30 00:00:00,5.18%,1020057300,2018-07-03 00:40:32
3,166,2,State Street Corporation,9014215,2017-12-30 00:00:00,5.02%,988048111,2018-07-03 00:40:32
4,166,2,Price (T.Rowe) Associates Inc,5339234,2017-12-30 00:00:00,2.97%,585233441,2018-07-03 00:40:32
5,166,2,"AQR Capital Management, LLC",2967226,2017-12-30 00:00:00,1.65%,325237643,2018-07-03 00:40:32
6,166,2,"Renaissance Technologies, LLC",2303300,2017-12-30 00:00:00,1.28%,252464714,2018-07-03 00:40:32
7,166,2,Northern Trust Corporation,2130715,2017-12-30 00:00:00,1.19%,233547672,2018-07-03 00:40:32
8,166,2,"Geode Capital Management, LLC",1900840,2017-12-30 00:00:00,1.06%,208351073,2018-07-03 00:40:32
9,166,2,"Franklin Resources, Inc",1894370,2017-12-30 00:00:00,1.05%,207641896,2018-07-03 00:40:32
0,166,2,Income Fund of America Inc,5056243,2017-12-30 00:00:00,2.81%,554214798,2018-07-03 00:40:32
1,166,2,Vanguard Mid-Cap Index Fund,4432548,2017-06-29 00:00:00,2.47%,477252435,2018-07-03 00:40:32
2,166,2,Vanguard Total Stock Market Index Fund,4146640,2017-06-29 00:00:00,2.31%,446468721,2018-07-03 00:40:32
3,166,2,Vanguard 500 Index Fund,2830433,2017-06-29 00:00:00,1.58%,304752715,2018-07-03 00:40:32
4,166,2,iShares Select Dividend ETF,2796668,2018-01-30 00:00:00,1.56%,291944170,2018-07-03 00:40:32
5,166,2,SPDR S&P 500 ETF Trust,2271751,2018-01-30 00:00:00,1.26%,237148085,2018-07-03 00:40:32
6,166,2,Washington Mutual Investors Fund,2250000,2017-12-30 00:00:00,1.25%,246622501,2018-07-03 00:40:32
7,166,2,Select Sector SPDR Fund-Utilities,2066061,2018-01-30 00:00:00,1.15%,215676106,2018-07-03 00:40:32
8,166,2,American Balanced Fund,2000000,2017-12-30 00:00:00,1.11%,219220001,2018-07-03 00:40:32
9,166,2,Vanguard Institutional Index Fund-Institutional Index Fund,1970242,2017-06-29 00:00:00,1.10%,212135952,2018-07-03 00:40:32
