,instrument_id,data_vendor_id,Holder,Shares,date_reported,percent_out,Value,refreshed_at
0,178,2,"FMR, LLC",26201058,2017-12-30 00:00:00,8.54%,2759233354,2018-07-03 00:44:59
1,178,2,Price (T.Rowe) Associates Inc,23647086,2017-12-30 00:00:00,7.71%,2490274568,2018-07-03 00:44:59
2,178,2,"Vanguard Group, Inc. (The)",22078020,2017-12-30 00:00:00,7.20%,2325036232,2018-07-03 00:44:59
3,178,2,Blackrock Inc.,21297293,2017-12-30 00:00:00,6.94%,2242817873,2018-07-03 00:44:59
4,178,2,State Street Corporation,11836385,2017-12-30 00:00:00,3.86%,1246489675,2018-07-03 00:44:59
5,178,2,Massachusetts Financial Services Co.,8315103,2017-12-30 00:00:00,2.71%,875663476,2018-07-03 00:44:59
6,178,2,"Lone Pine Capital, LLC",7308184,2017-12-30 00:00:00,2.38%,769624839,2018-07-03 00:44:59
7,178,2,Invesco Ltd.,7150154,2017-12-30 00:00:00,2.33%,752982700,2018-07-03 00:44:59
8,178,2,"Ameriprise Financial, Inc.",6356388,2017-12-30 00:00:00,2.07%,669391204,2018-07-03 00:44:59
9,178,2,JP Morgan Chase & Company,6250928,2017-12-30 00:00:00,2.04%,658285212,2018-07-03 00:44:59
0,178,2,Fidelity Contrafund Inc,7439167,2018-01-30 00:00:00,2.43%,875218008,2018-07-03 00:44:59
1,178,2,Vanguard Total Stock Market Index Fund,6769768,2017-06-29 00:00:00,2.21%,733301267,2018-07-03 00:44:59
2,178,2,Vanguard 500 Index Fund,4891097,2017-06-29 00:00:00,1.59%,529803625,2018-07-03 00:44:59
3,178,2,Price (T.Rowe) Growth Stock Fund Inc.,4461000,2017-12-30 00:00:00,1.45%,469787899,2018-07-03 00:44:59
4,178,2,SPDR S&P 500 ETF Trust,3904055,2018-01-30 00:00:00,1.27%,459312076,2018-07-03 00:44:59
5,178,2,Vanguard Mid-Cap Index Fund,3623053,2017-06-29 00:00:00,1.18%,392449099,2018-07-03 00:44:59
6,178,2,Vanguard Institutional Index Fund-Institutional Index Fund,3399668,2017-06-29 00:00:00,1.11%,368252036,2018-07-03 00:44:59
7,178,2,Invesco American Franchise Fd,2571264,2017-12-30 00:00:00,0.84%,270779805,2018-07-03 00:44:59
8,178,2,MFS Series Trust II-MFS Growth Fund,2510306,2017-08-30 00:00:00,0.82%,298048639,2018-07-03 00:44:59
9,178,2,"Powershares Exhg Traded Fd Tr-Powershares QQQ Tr, Series 1",2487729,2018-01-30 00:00:00,0.81%,292681320,2018-07-03 00:44:59
