,instrument_id,data_vendor_id,Holder,Shares,date_reported,percent_out,Value,refreshed_at
0,171,2,"Vanguard Group, Inc. (The)",67870783,2017-12-30 00:00:00,6.71%,2573659967,2018-07-03 00:42:24
1,171,2,Blackrock Inc.,61658847,2017-12-30 00:00:00,6.09%,2338103365,2018-07-03 00:42:24
2,171,2,State Street Corporation,39834305,2017-12-30 00:00:00,3.94%,1510516772,2018-07-03 00:42:24
3,171,2,"Wellington Management Company, LLP",38134786,2017-12-30 00:00:00,3.77%,1446071015,2018-07-03 00:42:24
4,171,2,Magellan Asset Management Ltd,37035282,2017-12-30 00:00:00,3.66%,1404377825,2018-07-03 00:42:24
5,171,2,Invesco Ltd.,32345981,2017-12-30 00:00:00,3.20%,1226559540,2018-07-03 00:42:24
6,171,2,Boston Partners,22788316,2017-12-30 00:00:00,2.25%,864132900,2018-07-03 00:42:24
7,171,2,Lazard Asset Management LLC,22610368,2017-12-30 00:00:00,2.23%,857385113,2018-07-03 00:42:24
8,171,2,"Independent Franchise Partners, LLP",22381333,2017-12-30 00:00:00,2.21%,848700106,2018-07-03 00:42:24
9,171,2,"AQR Capital Management, LLC",22200698,2017-12-30 00:00:00,2.19%,841850427,2018-07-03 00:42:24
0,171,2,Vanguard Total Stock Market Index Fund,23752461,2017-06-29 00:00:00,2.35%,829198409,2018-07-03 00:42:24
1,171,2,Vanguard/Wellington Fund Inc.,17443835,2017-08-30 00:00:00,1.72%,607219920,2018-07-03 00:42:24
2,171,2,Vanguard 500 Index Fund,15880125,2017-06-29 00:00:00,1.57%,554375161,2018-07-03 00:42:24
3,171,2,SPDR S&P 500 ETF Trust,12350159,2018-01-30 00:00:00,1.22%,503886477,2018-07-03 00:42:24
4,171,2,Vanguard Institutional Index Fund-Institutional Index Fund,11037693,2017-06-29 00:00:00,1.09%,385325860,2018-07-03 00:42:24
5,171,2,"Powershares Exhg Traded Fd Tr-Powershares QQQ Tr, Series 1",8438900,2018-01-30 00:00:00,0.83%,344307113,2018-07-03 00:42:24
6,171,2,Fidelity Contrafund Inc,8364821,2018-01-30 00:00:00,0.83%,341284690,2018-07-03 00:42:24
7,171,2,Vanguard/Windsor II,7655934,2017-07-30 00:00:00,0.76%,275154257,2018-07-03 00:42:24
8,171,2,FMI Large Cap Fund,6576000,2017-09-29 00:00:00,0.65%,250216794,2018-07-03 00:42:24
9,171,2,iShares Core S&P 500 ETF,6289558,2018-01-30 00:00:00,0.62%,256613961,2018-07-03 00:42:24
