,instrument_id,data_vendor_id,Holder,Shares,date_reported,percent_out,Value,refreshed_at
0,177,2,"Vanguard Group, Inc. (The)",13865811,2017-12-30 00:00:00,9.71%,1295344038,2018-07-03 00:44:36
1,177,2,Blackrock Inc.,12147844,2017-12-30 00:00:00,8.51%,1134851564,2018-07-03 00:44:36
2,177,2,State Street Corporation,7166430,2017-12-30 00:00:00,5.02%,669487877,2018-07-03 00:44:36
3,177,2,JP Morgan Chase & Company,6775285,2017-12-30 00:00:00,4.75%,632947112,2018-07-03 00:44:36
4,177,2,Lsv Asset Management,4303117,2017-12-30 00:00:00,3.01%,401997182,2018-07-03 00:44:36
5,177,2,"FMR, LLC",2969332,2017-12-30 00:00:00,2.08%,277394990,2018-07-03 00:44:36
6,177,2,"Ameriprise Financial, Inc.",2763646,2017-12-30 00:00:00,1.94%,258179804,2018-07-03 00:44:36
7,177,2,Norges Bank Investment Management,2683956,2017-12-30 00:00:00,1.88%,250735164,2018-07-03 00:44:36
8,177,2,"Oppenheimer Funds, Inc.",2503072,2017-12-30 00:00:00,1.75%,233836981,2018-07-03 00:44:36
9,177,2,Dimensional Fund Advisors LP,2272556,2017-12-30 00:00:00,1.59%,212302177,2018-07-03 00:44:36
0,177,2,Vanguard Mid-Cap Index Fund,3244926,2017-06-29 00:00:00,2.27%,271016208,2018-07-03 00:44:36
1,177,2,Vanguard Total Stock Market Index Fund,3187319,2017-06-29 00:00:00,2.23%,266204872,2018-07-03 00:44:36
2,177,2,Vanguard 500 Index Fund,2299731,2017-06-29 00:00:00,1.61%,192073525,2018-07-03 00:44:36
3,177,2,SPDR S&P 500 ETF Trust,1857501,2018-01-30 00:00:00,1.30%,188034832,2018-07-03 00:44:36
4,177,2,Vanguard Institutional Index Fund-Institutional Index Fund,1598901,2017-06-29 00:00:00,1.12%,133540206,2018-07-03 00:44:36
5,177,2,Select Sector SPDR Fund-Materials,1179700,2018-01-30 00:00:00,0.83%,119421034,2018-07-03 00:44:36
6,177,2,Oppenheimer Main Street Mid Cap Fund,1058080,2017-06-29 00:00:00,0.74%,88370838,2018-07-03 00:44:36
7,177,2,Vanguard Mid-Cap Value Index Fund,1050065,2017-06-29 00:00:00,0.74%,87701425,2018-07-03 00:44:36
8,177,2,DFA U.S. Large Cap Value Series,992551,2017-07-30 00:00:00,0.70%,82411508,2018-07-03 00:44:36
9,177,2,iShares Core S&P 500 ETF,931184,2018-01-30 00:00:00,0.65%,94263759,2018-07-03 00:44:36
