,instrument_id,data_vendor_id,Holder,Shares,date_reported,percent_out,Value,refreshed_at
0,179,2,"Vanguard Group, Inc. (The)",44860753,2017-12-30 00:00:00,7.07%,3139355645,2018-07-03 00:45:22
1,179,2,Blackrock Inc.,41040358,2017-12-30 00:00:00,6.46%,2872004390,2018-07-03 00:45:22
2,179,2,State Street Corporation,29788054,2017-12-30 00:00:00,4.69%,2084568118,2018-07-03 00:45:22
3,179,2,Bank of America Corporation,21717386,2017-12-30 00:00:00,3.42%,1519782745,2018-07-03 00:45:22
4,179,2,Longview Partners (Guernsey) LTD,14322835,2017-12-30 00:00:00,2.26%,1002312041,2018-07-03 00:45:22
5,179,2,Bank Of New York Mellon Corporation,12740353,2017-12-30 00:00:00,2.01%,891569945,2018-07-03 00:45:22
6,179,2,Capital World Investors,11450000,2017-12-30 00:00:00,1.80%,801271038,2018-07-03 00:45:22
7,179,2,Wells Fargo & Company,10518339,2017-12-30 00:00:00,1.66%,736073398,2018-07-03 00:45:22
8,179,2,Invesco Ltd.,9772299,2017-12-30 00:00:00,1.54%,683865516,2018-07-03 00:45:22
9,179,2,Northern Trust Corporation,9731133,2017-12-30 00:00:00,1.53%,680984720,2018-07-03 00:45:22
0,179,2,Vanguard Total Stock Market Index Fund,14838153,2017-06-29 00:00:00,2.34%,870109282,2018-07-03 00:45:22
1,179,2,Vanguard 500 Index Fund,10234792,2017-06-29 00:00:00,1.61%,600168196,2018-07-03 00:45:22
2,179,2,"Sunamerica Series, Inc-AIG Focused Dividend Strategy Fund",8346735,2017-07-30 00:00:00,1.31%,496881124,2018-07-03 00:45:22
3,179,2,SPDR S&P 500 ETF Trust,8161347,2018-01-30 00:00:00,1.29%,595696700,2018-07-03 00:45:22
4,179,2,Vanguard Institutional Index Fund-Institutional Index Fund,7074671,2017-06-29 00:00:00,1.11%,414858703,2018-07-03 00:45:22
5,179,2,Income Fund of America Inc,6000000,2017-12-30 00:00:00,0.95%,419880020,2018-07-03 00:45:22
6,179,2,Fundamental Investors Inc,5000000,2017-12-30 00:00:00,0.79%,349900016,2018-07-03 00:45:22
7,179,2,Invesco Diversified Dividend Fund,4735388,2017-12-30 00:00:00,0.75%,331382468,2018-07-03 00:45:22
8,179,2,iShares Core S&P 500 ETF,4159885,2018-01-30 00:00:00,0.66%,303629997,2018-07-03 00:45:22
9,179,2,Fidelity 500 Index Fund,3967360,2018-01-30 00:00:00,0.62%,289577597,2018-07-03 00:45:22
