,instrument_id,data_vendor_id,Holder,Shares,date_reported,percent_out,Value,refreshed_at
0,181,2,"Vanguard Group, Inc. (The)",53060374,2017-12-30 00:00:00,14.41%,3409129029,2018-07-03 00:46:06
1,181,2,Blackrock Inc.,36016443,2017-12-30 00:00:00,9.78%,2314056462,2018-07-03 00:46:06
2,181,2,State Street Corporation,21492468,2017-12-30 00:00:00,5.84%,1380891069,2018-07-03 00:46:06
3,181,2,Cohen & Steers Inc.,15773647,2017-12-30 00:00:00,4.28%,1013456819,2018-07-03 00:46:06
4,181,2,Price (T.Rowe) Associates Inc,15583902,2017-12-30 00:00:00,4.23%,1001265703,2018-07-03 00:46:06
5,181,2,Apg Asset Management Us Inc.,15122000,2017-12-30 00:00:00,4.11%,971588500,2018-07-03 00:46:06
6,181,2,Macquarie Group Limited,10754041,2017-12-30 00:00:00,2.92%,690947134,2018-07-03 00:46:06
7,181,2,Invesco Ltd.,9023764,2017-12-30 00:00:00,2.45%,579776837,2018-07-03 00:46:06
8,181,2,Daiwa Securities Group Inc.,7800736,2017-12-30 00:00:00,2.12%,501197288,2018-07-03 00:46:06
9,181,2,LaSalle Investment Management Securities LLC,7730079,2017-12-30 00:00:00,2.10%,496657575,2018-07-03 00:46:06
0,181,2,Vanguard Specialized-REIT Index Fund,27750145,2017-07-30 00:00:00,7.54%,1878962292,2018-07-03 00:46:06
1,181,2,Vanguard Total Stock Market Index Fund,8435767,2017-06-29 00:00:00,2.29%,560219317,2018-07-03 00:46:06
2,181,2,Delaware Group Equity Funds II- Value Fund,5967700,2017-08-30 00:00:00,1.62%,402043965,2018-07-03 00:46:06
3,181,2,Vanguard 500 Index Fund,5790718,2017-06-29 00:00:00,1.57%,384561603,2018-07-03 00:46:06
4,181,2,Price (T.Rowe) Real Estate Fund Inc.,5320000,2017-12-30 00:00:00,1.44%,341810000,2018-07-03 00:46:06
5,181,2,SPDR S&P 500 ETF Trust,4648868,2018-01-30 00:00:00,1.26%,284557206,2018-07-03 00:46:06
6,181,2,Vanguard Institutional Index Fund-Institutional Index Fund,4025784,2017-06-29 00:00:00,1.09%,267352330,2018-07-03 00:46:06
7,181,2,DFA Real Estate Securities Portfolio,3481321,2017-07-30 00:00:00,0.95%,235720241,2018-07-03 00:46:06
8,181,2,iShares Core S&P 500 ETF,2386390,2018-01-30 00:00:00,0.65%,146070929,2018-07-03 00:46:06
9,181,2,Fidelity 500 Index Fund,2271582,2018-01-30 00:00:00,0.62%,139043532,2018-07-03 00:46:06
