,instrument_id,data_vendor_id,Holder,Shares,date_reported,percent_out,Value,refreshed_at
0,534,2,"Vanguard Group, Inc. (The)",33913632,2017-12-30 00:00:00,10.70%,2134863160,2018-07-03 02:58:36
1,534,2,Blackrock Inc.,25200721,2017-12-30 00:00:00,7.95%,1586385406,2018-07-03 02:58:36
2,534,2,State Street Corporation,15734069,2017-12-30 00:00:00,4.97%,990459655,2018-07-03 02:58:36
3,534,2,Bank Of New York Mellon Corporation,15078744,2017-12-30 00:00:00,4.76%,949206946,2018-07-03 02:58:36
4,534,2,"Wellington Management Company, LLP",11575917,2017-12-30 00:00:00,3.65%,728703983,2018-07-03 02:58:36
5,534,2,Price (T.Rowe) Associates Inc,11206300,2017-12-30 00:00:00,3.54%,705436593,2018-07-03 02:58:36
6,534,2,Wells Fargo & Company,6823570,2017-12-30 00:00:00,2.15%,429543736,2018-07-03 02:58:36
7,534,2,"ThomasPartners, Inc.",4279561,2017-12-30 00:00:00,1.35%,269398368,2018-07-03 02:58:36
8,534,2,Northern Trust Corporation,3839131,2017-12-30 00:00:00,1.21%,241673299,2018-07-03 02:58:36
9,534,2,Adage Capital Partners GP L.L.C.,3749756,2017-12-30 00:00:00,1.18%,236047143,2018-07-03 02:58:36
0,534,2,Vanguard Mid-Cap Index Fund,7830047,2017-06-29 00:00:00,2.47%,485384626,2018-07-03 02:58:36
1,534,2,Vanguard Total Stock Market Index Fund,7286855,2017-06-29 00:00:00,2.30%,451712153,2018-07-03 02:58:36
2,534,2,Vanguard 500 Index Fund,4999130,2017-06-29 00:00:00,1.58%,309896077,2018-07-03 02:58:36
3,534,2,Vanguard/Wellesley Income Fund,4633950,2017-06-29 00:00:00,1.46%,287258568,2018-07-03 02:58:36
4,534,2,SPDR S&P 500 ETF Trust,3977731,2018-01-30 00:00:00,1.26%,248369518,2018-07-03 02:58:36
5,534,2,Select Sector SPDR Fund-Utilities,3611349,2018-01-30 00:00:00,1.14%,225492626,2018-07-03 02:58:36
6,534,2,Vanguard Institutional Index Fund-Institutional Index Fund,3481521,2017-06-29 00:00:00,1.10%,215819492,2018-07-03 02:58:36
7,534,2,Vanguard Fenway Funds-Equity Income Fund,3405223,2017-06-29 00:00:00,1.07%,211089779,2018-07-03 02:58:36
8,534,2,Price (T.Rowe) Value Fund,3285119,2017-12-30 00:00:00,1.04%,206798243,2018-07-03 02:58:36
9,534,2,iShares Select Dividend ETF,2803050,2018-01-30 00:00:00,0.88%,175022438,2018-07-03 02:58:36
