,instrument_id,data_vendor_id,Holder,Shares,date_reported,percent_out,Value,refreshed_at
0,183,2,"Vanguard Group, Inc. (The)",39098977,2017-12-30 00:00:00,6.93%,2932032201,2018-07-03 00:46:51
1,183,2,Blackrock Inc.,35570610,2017-12-30 00:00:00,6.30%,2667439967,2018-07-03 00:46:51
2,183,2,Dodge & Cox Inc,34767794,2017-12-30 00:00:00,6.16%,2607236797,2018-07-03 00:46:51
3,183,2,Capital World Investors,31843307,2017-12-30 00:00:00,5.64%,2387929523,2018-07-03 00:46:51
4,183,2,State Street Corporation,24955585,2017-12-30 00:00:00,4.42%,1871419265,2018-07-03 00:46:51
5,183,2,Capital Research Global Investors,19060891,2017-12-30 00:00:00,3.38%,1429376175,2018-07-03 00:46:51
6,183,2,"Barrow, Hanley Mewhinney & Strauss, LLC",17095646,2017-12-30 00:00:00,3.03%,1282002457,2018-07-03 00:46:51
7,183,2,Northern Trust Corporation,10376228,2017-12-30 00:00:00,1.84%,778113315,2018-07-03 00:46:51
8,183,2,Macquarie Group Limited,10176018,2017-12-30 00:00:00,1.80%,763099568,2018-07-03 00:46:51
9,183,2,Invesco Ltd.,9014372,2017-12-30 00:00:00,1.60%,675987737,2018-07-03 00:46:51
0,183,2,Dodge & Cox Stock Fund,20559871,2017-09-29 00:00:00,3.64%,1294449459,2018-07-03 00:46:51
1,183,2,Vanguard Total Stock Market Index Fund,13674358,2017-06-29 00:00:00,2.42%,883637051,2018-07-03 00:46:51
2,183,2,Growth Fund Of America Inc,13488200,2017-12-30 00:00:00,2.39%,1011480089,2018-07-03 00:46:51
3,183,2,Vanguard/Windsor II,12646167,2017-07-30 00:00:00,2.24%,795443923,2018-07-03 00:46:51
4,183,2,American Balanced Fund,10676400,2017-12-30 00:00:00,1.89%,800623213,2018-07-03 00:46:51
5,183,2,Vanguard 500 Index Fund,9363852,2017-06-29 00:00:00,1.66%,605092141,2018-07-03 00:46:51
6,183,2,Investment Company Of America,7930357,2017-12-30 00:00:00,1.41%,594697454,2018-07-03 00:46:51
7,183,2,SPDR S&P 500 ETF Trust,7200313,2018-01-30 00:00:00,1.28%,589849627,2018-07-03 00:46:51
8,183,2,Delaware Group Equity Funds II- Value Fund,6635175,2017-08-30 00:00:00,1.18%,405873642,2018-07-03 00:46:51
9,183,2,Vanguard Institutional Index Fund-Institutional Index Fund,6508680,2017-06-29 00:00:00,1.15%,420590919,2018-07-03 00:46:51
