,instrument_id,data_vendor_id,Holder,Shares,date_reported,percent_out,Value,refreshed_at
0,187,2,"Vanguard Group, Inc. (The)",31852370,2017-12-30 00:00:00,7.27%,2489581355,2018-07-03 00:48:26
1,187,2,Blackrock Inc.,29251387,2017-12-30 00:00:00,6.68%,2286288515,2018-07-03 00:48:26
2,187,2,"Wellington Management Company, LLP",27681461,2017-12-30 00:00:00,6.32%,2163583093,2018-07-03 00:48:26
3,187,2,State Street Corporation,19681151,2017-12-30 00:00:00,4.49%,1538278834,2018-07-03 00:48:26
4,187,2,Massachusetts Financial Services Co.,14928441,2017-12-30 00:00:00,3.41%,1166807003,2018-07-03 00:48:26
5,187,2,JP Morgan Chase & Company,13623928,2017-12-30 00:00:00,3.11%,1064846262,2018-07-03 00:48:26
6,187,2,Boston Partners,9125635,2017-12-30 00:00:00,2.08%,713259665,2018-07-03 00:48:26
7,187,2,Norges Bank Investment Management,8492409,2017-12-30 00:00:00,1.94%,663766718,2018-07-03 00:48:26
8,187,2,Lazard Asset Management LLC,6558015,2017-12-30 00:00:00,1.50%,512574476,2018-07-03 00:48:26
9,187,2,Northern Trust Corporation,6236124,2017-12-30 00:00:00,1.42%,487415474,2018-07-03 00:48:26
0,187,2,Vanguard Total Stock Market Index Fund,10315137,2017-06-29 00:00:00,2.35%,788385924,2018-07-03 00:48:26
1,187,2,Vanguard 500 Index Fund,7057021,2017-06-29 00:00:00,1.61%,539368117,2018-07-03 00:48:26
2,187,2,Vanguard/Wellington Fund Inc.,6716478,2017-08-30 00:00:00,1.53%,473108726,2018-07-03 00:48:26
3,187,2,MFS Series Trust I-MFS Value Fund,5820764,2017-08-30 00:00:00,1.33%,410014630,2018-07-03 00:48:26
4,187,2,SPDR S&P 500 ETF Trust,5599426,2018-01-30 00:00:00,1.28%,479254850,2018-07-03 00:48:26
5,187,2,Vanguard/Wellesley Income Fund,5200211,2017-06-29 00:00:00,1.19%,397452128,2018-07-03 00:48:26
6,187,2,Vanguard Institutional Index Fund-Institutional Index Fund,4904796,2017-06-29 00:00:00,1.12%,374873559,2018-07-03 00:48:26
7,187,2,Vanguard Fenway Funds-Equity Income Fund,4000745,2017-06-29 00:00:00,0.91%,305776941,2018-07-03 00:48:26
8,187,2,Vanguard/Windsor Fund Inc.,3460790,2017-07-30 00:00:00,0.79%,271429760,2018-07-03 00:48:26
9,187,2,Select Sector SPDR Fund-Industrial,3075890,2018-01-30 00:00:00,0.70%,263265413,2018-07-03 00:48:26
