,instrument_id,data_vendor_id,Holder,Shares,date_reported,percent_out,Value,refreshed_at
0,195,2,"Vanguard Group, Inc. (The)",21328999,2017-12-30 00:00:00,10.16%,2443236900,2018-07-03 00:51:28
1,195,2,Blackrock Inc.,15410737,2017-12-30 00:00:00,7.34%,1765299970,2018-07-03 00:51:28
2,195,2,State Street Corporation,8712725,2017-12-30 00:00:00,4.15%,998042675,2018-07-03 00:51:28
3,195,2,Bank Of New York Mellon Corporation,7580924,2017-12-30 00:00:00,3.61%,868394867,2018-07-03 00:51:28
4,195,2,"Sands Capital Management, Inc.",6956035,2017-12-30 00:00:00,3.31%,796813830,2018-07-03 00:51:28
5,195,2,"Wellington Management Company, LLP",6556482,2017-12-30 00:00:00,3.12%,751045033,2018-07-03 00:51:28
6,195,2,"AllianceBernstein, L.P.",6259771,2017-12-30 00:00:00,2.98%,717056787,2018-07-03 00:51:28
7,195,2,"Ameriprise Financial, Inc.",3795366,2017-12-30 00:00:00,1.81%,434759186,2018-07-03 00:51:28
8,195,2,Brown Advisory Inc.,3754518,2017-12-30 00:00:00,1.79%,430080048,2018-07-03 00:51:28
9,195,2,Norges Bank Investment Management,3242157,2017-12-30 00:00:00,1.54%,371389094,2018-07-03 00:51:28
0,195,2,Vanguard Mid-Cap Index Fund,5186362,2017-06-29 00:00:00,2.47%,607478566,2018-07-03 00:51:28
1,195,2,Vanguard Total Stock Market Index Fund,4860965,2017-06-29 00:00:00,2.31%,569364817,2018-07-03 00:51:28
2,195,2,Vanguard 500 Index Fund,3308649,2017-06-29 00:00:00,1.58%,387542048,2018-07-03 00:51:28
3,195,2,SPDR S&P 500 ETF Trust,2672529,2018-01-30 00:00:00,1.27%,339143934,2018-07-03 00:51:28
4,195,2,Vanguard Institutional Index Fund-Institutional Index Fund,2304546,2017-06-29 00:00:00,1.10%,269931466,2018-07-03 00:51:28
5,195,2,AB Large Cap Growth Fund,1468185,2017-07-30 00:00:00,0.70%,169590052,2018-07-03 00:51:28
6,195,2,Mainstay Large Cap Growth Fund,1373100,2017-07-30 00:00:00,0.65%,158606783,2018-07-03 00:51:28
7,195,2,iShares Core S&P 500 ETF,1370250,2018-01-30 00:00:00,0.65%,173884727,2018-07-03 00:51:28
8,195,2,Vanguard Growth Index Fund,1335138,2017-06-29 00:00:00,0.64%,156384710,2018-07-03 00:51:28
9,195,2,Fidelity 500 Index Fund,1308114,2018-01-30 00:00:00,0.62%,165999668,2018-07-03 00:51:28
