,instrument_id,data_vendor_id,Holder,Shares,date_reported,percent_out,Value,refreshed_at
0,196,2,"Vanguard Group, Inc. (The)",19898740,2017-12-30 00:00:00,11.27%,1300581658,2018-07-03 00:51:51
1,196,2,"Loomis Sayles & Company, LP",15562325,2017-12-30 00:00:00,8.82%,1017153571,2018-07-03 00:51:51
2,196,2,Blackrock Inc.,14440405,2017-12-30 00:00:00,8.18%,943824879,2018-07-03 00:51:51
3,196,2,State Street Corporation,10174329,2017-12-30 00:00:00,5.76%,664994149,2018-07-03 00:51:51
4,196,2,"Fiduciary Management, Inc.",5656793,2017-12-30 00:00:00,3.20%,369727993,2018-07-03 00:51:51
5,196,2,Bank of America Corporation,3907432,2017-12-30 00:00:00,2.21%,255389757,2018-07-03 00:51:51
6,196,2,Commonwealth Bank of Australia,3417962,2017-12-30 00:00:00,1.94%,223397998,2018-07-03 00:51:51
7,196,2,"Select Equity Group, Inc.",3085272,2017-12-30 00:00:00,1.75%,201653379,2018-07-03 00:51:51
8,196,2,Price (T.Rowe) Associates Inc,2903061,2017-12-30 00:00:00,1.64%,189744068,2018-07-03 00:51:51
9,196,2,Northern Trust Corporation,2733983,2017-12-30 00:00:00,1.55%,178693130,2018-07-03 00:51:51
0,196,2,Vanguard Mid-Cap Index Fund,4454583,2017-06-29 00:00:00,2.52%,248476634,2018-07-03 00:51:51
1,196,2,Vanguard Total Stock Market Index Fund,4139821,2017-06-29 00:00:00,2.34%,230919210,2018-07-03 00:51:51
2,196,2,FMI Large Cap Fund,3607000,2017-09-29 00:00:00,2.04%,214255805,2018-07-03 00:51:51
3,196,2,Loomis Sayles Growth Fund,3365296,2017-06-29 00:00:00,1.91%,187716206,2018-07-03 00:51:51
4,196,2,Vanguard 500 Index Fund,2842937,2017-06-29 00:00:00,1.61%,158579022,2018-07-03 00:51:51
5,196,2,SPDR S&P 500 ETF Trust,2271444,2018-01-30 00:00:00,1.29%,150528586,2018-07-03 00:51:51
6,196,2,Vanguard Institutional Index Fund-Institutional Index Fund,1980836,2017-06-29 00:00:00,1.12%,110491029,2018-07-03 00:51:51
7,196,2,Price (T.Rowe) Mid-Cap Value Fund,1788300,2017-12-30 00:00:00,1.01%,116883289,2018-07-03 00:51:51
8,196,2,Vanguard Specialized-Dividend Appreciation Index Fund,1538345,2017-07-30 00:00:00,0.87%,90423917,2018-07-03 00:51:51
9,196,2,Advanced Series Tr-AST Loomis Sayles Large Cap Growth Port,1336530,2017-09-29 00:00:00,0.76%,79389884,2018-07-03 00:51:51
