,instrument_id,data_vendor_id,Holder,Shares,date_reported,percent_out,Value,refreshed_at
0,191,2,"Vanguard Group, Inc. (The)",12510422,2017-12-30 00:00:00,8.22%,1516888667,2018-07-03 00:49:59
1,191,2,"PAR Capital Management, Inc.",7969191,2017-12-30 00:00:00,5.24%,966264408,2018-07-03 00:49:59
2,191,2,Blackrock Inc.,7341913,2017-12-30 00:00:00,4.83%,890206951,2018-07-03 00:49:59
3,191,2,JP Morgan Chase & Company,5360699,2017-12-30 00:00:00,3.52%,649984753,2018-07-03 00:49:59
4,191,2,State Street Corporation,4854022,2017-12-30 00:00:00,3.19%,588550167,2018-07-03 00:49:59
5,191,2,"Wellington Management Company, LLP",4083763,2017-12-30 00:00:00,2.68%,495156263,2018-07-03 00:49:59
6,191,2,"Altimeter Capital Management, LP",3432362,2017-12-30 00:00:00,2.26%,416173892,2018-07-03 00:49:59
7,191,2,"Winslow Capital Management, Llc",3092639,2017-12-30 00:00:00,2.03%,374982478,2018-07-03 00:49:59
8,191,2,"Senator Investment Group, LP",2775000,2017-12-30 00:00:00,1.82%,336468750,2018-07-03 00:49:59
9,191,2,"First Pacific Advisors, Inc",2661820,2017-12-30 00:00:00,1.75%,322745675,2018-07-03 00:49:59
0,191,2,Vanguard Mid-Cap Index Fund,3072266,2017-06-29 00:00:00,2.02%,454357416,2018-07-03 00:49:59
1,191,2,Vanguard Total Stock Market Index Fund,2840904,2017-06-29 00:00:00,1.87%,420141290,2018-07-03 00:49:59
2,191,2,Vanguard 500 Index Fund,1918218,2017-06-29 00:00:00,1.26%,283685258,2018-07-03 00:49:59
3,191,2,JP Morgan Mid Cap Value Fund,1896021,2018-01-30 00:00:00,1.25%,247241126,2018-07-03 00:49:59
4,191,2,SPDR S&P 500 ETF Trust,1562132,2018-01-30 00:00:00,1.03%,203702003,2018-07-03 00:49:59
5,191,2,Vanguard Institutional Index Fund-Institutional Index Fund,1332972,2017-06-29 00:00:00,0.88%,197133228,2018-07-03 00:49:59
6,191,2,Price (T.Rowe) Mid Cap Growth Fund,1250000,2017-12-30 00:00:00,0.82%,151562500,2018-07-03 00:49:59
7,191,2,"Powershares Exhg Traded Fd Tr-Powershares QQQ Tr, Series 1",1128635,2018-01-30 00:00:00,0.74%,147173997,2018-07-03 00:49:59
8,191,2,College Retirement Equities Fund-Growth Account,989329,2017-06-29 00:00:00,0.65%,146311865,2018-07-03 00:49:59
9,191,2,First Trust Dow Jones Internet Index (SM) Fund,980383,2017-09-29 00:00:00,0.64%,142714360,2018-07-03 00:49:59
