,instrument_id,data_vendor_id,Holder,Shares,date_reported,percent_out,Value,refreshed_at
0,198,2,"Vanguard Group, Inc. (The)",280042121,2017-12-30 00:00:00,7.18%,3522929860,2018-07-03 00:52:35
1,198,2,Blackrock Inc.,231423379,2017-12-30 00:00:00,5.93%,2911306090,2018-07-03 00:52:35
2,198,2,Newport Trust Co,187075023,2017-12-30 00:00:00,4.79%,2353403775,2018-07-03 00:52:35
3,198,2,State Street Corporation,162390163,2017-12-30 00:00:00,4.16%,2042868238,2018-07-03 00:52:35
4,198,2,"Wellington Management Company, LLP",66987087,2017-12-30 00:00:00,1.72%,842697549,2018-07-03 00:52:35
5,198,2,Bank of America Corporation,56543935,2017-12-30 00:00:00,1.45%,711322697,2018-07-03 00:52:35
6,198,2,JP Morgan Chase & Company,52579281,2017-12-30 00:00:00,1.35%,661447350,2018-07-03 00:52:35
7,198,2,"Franklin Resources, Inc",50745860,2017-12-30 00:00:00,1.30%,638382914,2018-07-03 00:52:35
8,198,2,"Geode Capital Management, LLC",43141934,2017-12-30 00:00:00,1.11%,542725526,2018-07-03 00:52:35
9,198,2,Northern Trust Corporation,42632058,2017-12-30 00:00:00,1.09%,536311286,2018-07-03 00:52:35
0,198,2,Vanguard Total Stock Market Index Fund,89687054,2017-06-29 00:00:00,2.30%,993732551,2018-07-03 00:52:35
1,198,2,Franklin Custodian Funds-Income Fund,68814601,2017-06-29 00:00:00,1.76%,762465773,2018-07-03 00:52:35
2,198,2,Vanguard 500 Index Fund,62219607,2017-06-29 00:00:00,1.59%,689393240,2018-07-03 00:52:35
3,198,2,Vanguard/Wellington Fund Inc.,55967740,2017-08-30 00:00:00,1.43%,603891912,2018-07-03 00:52:35
4,198,2,SPDR S&P 500 ETF Trust,49543096,2018-01-30 00:00:00,1.27%,550919221,2018-07-03 00:52:35
5,198,2,Vanguard Institutional Index Fund-Institutional Index Fund,42931302,2017-06-29 00:00:00,1.10%,475678822,2018-07-03 00:52:35
6,198,2,iShares Core S&P 500 ETF,25301594,2018-01-30 00:00:00,0.65%,281353722,2018-07-03 00:52:35
7,198,2,Fidelity 500 Index Fund,24116514,2018-01-30 00:00:00,0.62%,268175632,2018-07-03 00:52:35
8,198,2,Loomis Sayles Bond Fund,21480222,2017-06-29 00:00:00,0.55%,238000858,2018-07-03 00:52:35
9,198,2,"Capital Income Builder, Inc.",20000000,2017-12-30 00:00:00,0.51%,251599998,2018-07-03 00:52:35
