,instrument_id,data_vendor_id,Holder,Shares,date_reported,percent_out,Value,refreshed_at
0,203,2,"Vanguard Group, Inc. (The)",6354968,2017-12-30 00:00:00,10.28%,839364185,2018-07-03 00:54:26
1,203,2,Blackrock Inc.,4543458,2017-12-30 00:00:00,7.35%,600099940,2018-07-03 00:54:26
2,203,2,State Street Corporation,2981402,2017-12-30 00:00:00,4.82%,393783581,2018-07-03 00:54:26
3,203,2,"FMR, LLC",2551784,2017-12-30 00:00:00,4.13%,337039635,2018-07-03 00:54:26
4,203,2,"Renaissance Technologies, LLC",2195774,2017-12-30 00:00:00,3.55%,290017833,2018-07-03 00:54:26
5,203,2,APG Asset Management N.V.,1539343,2017-12-30 00:00:00,2.49%,203316426,2018-07-03 00:54:26
6,203,2,"Goldman Sachs Group, Inc.",1470058,2017-12-30 00:00:00,2.38%,194165263,2018-07-03 00:54:26
7,203,2,FIL LTD,1399587,2017-12-30 00:00:00,2.26%,184857453,2018-07-03 00:54:26
8,203,2,Bank of Montreal/Can/,1390822,2017-12-30 00:00:00,2.25%,183699772,2018-07-03 00:54:26
9,203,2,Bank Of New York Mellon Corporation,1351692,2017-12-30 00:00:00,2.19%,178531481,2018-07-03 00:54:26
0,203,2,Vanguard Mid-Cap Index Fund,1598075,2017-06-29 00:00:00,2.58%,204233989,2018-07-03 00:54:26
1,203,2,Vanguard Total Stock Market Index Fund,1483232,2017-06-29 00:00:00,2.40%,189557054,2018-07-03 00:54:26
2,203,2,Vanguard 500 Index Fund,1020307,2017-06-29 00:00:00,1.65%,130395237,2018-07-03 00:54:26
3,203,2,SPDR S&P 500 ETF Trust,817697,2018-01-30 00:00:00,1.32%,113569935,2018-07-03 00:54:26
4,203,2,Vanguard Institutional Index Fund-Institutional Index Fund,711072,2017-06-29 00:00:00,1.15%,90875003,2018-07-03 00:54:26
5,203,2,JNL Series Trust-JNL/S&P Competitive Advantage Fund,686000,2017-06-29 00:00:00,1.11%,87670802,2018-07-03 00:54:26
6,203,2,Variable Insurance Products Fund III-Mid-Cap Portfolio,414954,2018-01-30 00:00:00,0.67%,57632960,2018-07-03 00:54:26
7,203,2,Vanguard Growth Index Fund,411420,2017-06-29 00:00:00,0.67%,52579477,2018-07-03 00:54:26
8,203,2,iShares Core S&P 500 ETF,405502,2018-01-30 00:00:00,0.66%,56320172,2018-07-03 00:54:26
9,203,2,Vanguard Mid-Cap Growth Index Fund,394102,2017-06-29 00:00:00,0.64%,50366236,2018-07-03 00:54:26
