,instrument_id,data_vendor_id,Holder,Shares,date_reported,percent_out,Value,refreshed_at
0,205,2,Price (T.Rowe) Associates Inc,26935536,2017-12-30 00:00:00,8.13%,2539482301,2018-07-03 00:55:11
1,205,2,"Vanguard Group, Inc. (The)",23854988,2017-12-30 00:00:00,7.20%,2249048239,2018-07-03 00:55:11
2,205,2,Blackrock Inc.,23023845,2017-12-30 00:00:00,6.95%,2170688078,2018-07-03 00:55:11
3,205,2,Massachusetts Financial Services Co.,19428337,2017-12-30 00:00:00,5.87%,1831703588,2018-07-03 00:55:11
4,205,2,State Street Corporation,13030243,2017-12-30 00:00:00,3.93%,1228491294,2018-07-03 00:55:11
5,205,2,JP Morgan Chase & Company,10322642,2017-12-30 00:00:00,3.12%,973218675,2018-07-03 00:55:11
6,205,2,Longview Partners (Guernsey) LTD,10286362,2017-12-30 00:00:00,3.11%,969798196,2018-07-03 00:55:11
7,205,2,Wells Fargo & Company,5108809,2017-12-30 00:00:00,1.54%,481658506,2018-07-03 00:55:11
8,205,2,"FMR, LLC",5079717,2017-12-30 00:00:00,1.53%,478915712,2018-07-03 00:55:11
9,205,2,Morgan Stanley,5021683,2017-12-30 00:00:00,1.52%,473444267,2018-07-03 00:55:11
0,205,2,Vanguard Total Stock Market Index Fund,7559877,2017-06-29 00:00:00,2.28%,644252727,2018-07-03 00:55:11
1,205,2,Price (T.Rowe) Capital Appreciation Fund,6274887,2017-12-30 00:00:00,1.89%,591596338,2018-07-03 00:55:11
2,205,2,Vanguard 500 Index Fund,5216105,2017-06-29 00:00:00,1.58%,444516474,2018-07-03 00:55:11
3,205,2,MFS Series Trust I-MFS Value Fund,5036468,2017-08-30 00:00:00,1.52%,462297402,2018-07-03 00:55:11
4,205,2,SPDR S&P 500 ETF Trust,4241904,2018-01-30 00:00:00,1.28%,435601132,2018-07-03 00:55:11
5,205,2,Price (T.Rowe) Growth Stock Fund Inc.,3825400,2017-12-30 00:00:00,1.16%,360658707,2018-07-03 00:55:11
6,205,2,Vanguard Institutional Index Fund-Institutional Index Fund,3630723,2017-06-29 00:00:00,1.10%,309410218,2018-07-03 00:55:11
7,205,2,Wells Fargo Special Mid Cap Value Fd,2379200,2018-01-30 00:00:00,0.72%,244320053,2018-07-03 00:55:11
8,205,2,Principal Mid Cap Fund,2318189,2018-01-30 00:00:00,0.70%,238054834,2018-07-03 00:55:11
9,205,2,Price (T.Rowe) Blue Chip Growth Fund Inc.,2273000,2017-12-30 00:00:00,0.69%,214298437,2018-07-03 00:55:11
