,instrument_id,data_vendor_id,Holder,Shares,date_reported,percent_out,Value,refreshed_at
0,199,2,Price (T.Rowe) Associates Inc,29587330,2017-12-30 00:00:00,14.32%,1952615924,2018-07-03 00:52:58
1,199,2,"Vanguard Group, Inc. (The)",21341466,2017-12-30 00:00:00,10.33%,1408430107,2018-07-03 00:52:58
2,199,2,Blackrock Inc.,15046546,2017-12-30 00:00:00,7.28%,992996844,2018-07-03 00:52:58
3,199,2,Massachusetts Financial Services Co.,10032866,2017-12-30 00:00:00,4.86%,662119019,2018-07-03 00:52:58
4,199,2,State Street Corporation,8497996,2017-12-30 00:00:00,4.11%,560825269,2018-07-03 00:52:58
5,199,2,Longview Partners (Guernsey) LTD,5448669,2017-12-30 00:00:00,2.64%,359584925,2018-07-03 00:52:58
6,199,2,"FMR, LLC",4827999,2017-12-30 00:00:00,2.34%,318623807,2018-07-03 00:52:58
7,199,2,Capital World Investors,3157700,2017-12-30 00:00:00,1.53%,208392420,2018-07-03 00:52:58
8,199,2,Invesco Ltd.,2883473,2017-12-30 00:00:00,1.40%,190294808,2018-07-03 00:52:58
9,199,2,"AllianceBernstein, L.P.",2857744,2017-12-30 00:00:00,1.38%,188596823,2018-07-03 00:52:58
0,199,2,Price (T.Rowe) Capital Appreciation Fund,6512529,2017-12-30 00:00:00,3.15%,429794369,2018-07-03 00:52:58
1,199,2,Vanguard Mid-Cap Index Fund,5249991,2017-06-29 00:00:00,2.54%,322480693,2018-07-03 00:52:58
2,199,2,Vanguard Total Stock Market Index Fund,4948540,2017-06-29 00:00:00,2.40%,303964065,2018-07-03 00:52:58
3,199,2,Price (T.Rowe) Mid Cap Growth Fund,4000000,2017-12-30 00:00:00,1.94%,263980010,2018-07-03 00:52:58
4,199,2,Vanguard 500 Index Fund,3349248,2017-06-29 00:00:00,1.62%,205727555,2018-07-03 00:52:58
5,199,2,Price (T.Rowe) Growth Stock Fund Inc.,3153962,2017-12-30 00:00:00,1.53%,208145730,2018-07-03 00:52:58
6,199,2,Price (T.Rowe) Blue Chip Growth Fund Inc.,2938600,2017-12-30 00:00:00,1.42%,193932915,2018-07-03 00:52:58
7,199,2,SPDR S&P 500 ETF Trust,2663954,2018-01-30 00:00:00,1.29%,190512668,2018-07-03 00:52:58
8,199,2,Growth Fund Of America Inc,2475000,2017-12-30 00:00:00,1.20%,163337631,2018-07-03 00:52:58
9,199,2,Vanguard Institutional Index Fund-Institutional Index Fund,2332709,2017-06-29 00:00:00,1.13%,143286648,2018-07-03 00:52:58
