,instrument_id,data_vendor_id,Holder,Shares,date_reported,percent_out,Value,refreshed_at
0,208,2,"Vanguard Group, Inc. (The)",14203200,2017-12-30 00:00:00,10.22%,667692408,2018-07-03 00:56:19
1,208,2,Blackrock Inc.,9950564,2017-12-30 00:00:00,7.16%,467775996,2018-07-03 00:56:19
2,208,2,State Street Corporation,5223860,2017-12-30 00:00:00,3.76%,245573649,2018-07-03 00:56:19
3,208,2,Invesco Ltd.,3883650,2017-12-30 00:00:00,2.80%,182570379,2018-07-03 00:56:19
4,208,2,Capital World Investors,3795692,2017-12-30 00:00:00,2.73%,178435474,2018-07-03 00:56:19
5,208,2,Atlanta Capital Management Company LLC,3742972,2017-12-30 00:00:00,2.69%,175957107,2018-07-03 00:56:19
6,208,2,AustralianSuper Pty Ltd,2814152,2017-12-30 00:00:00,2.03%,132293280,2018-07-03 00:56:19
7,208,2,Lord Abbett & Co,2604324,2017-12-30 00:00:00,1.87%,122429266,2018-07-03 00:56:19
8,208,2,"AQR Capital Management, LLC",2457923,2017-12-30 00:00:00,1.77%,115546956,2018-07-03 00:56:19
9,208,2,Cramer Rosenthal Mcglynn LLC/Adv,2346440,2017-12-30 00:00:00,1.69%,110306140,2018-07-03 00:56:19
0,208,2,New Perspective Fund Inc,3644000,2017-12-30 00:00:00,2.62%,171304433,2018-07-03 00:56:19
1,208,2,Vanguard Total Stock Market Index Fund,3127961,2017-06-29 00:00:00,2.25%,109384799,2018-07-03 00:56:19
2,208,2,Eaton Vance-Atlanta Capital SMID-Cap Port,3059140,2017-06-29 00:00:00,2.20%,106978129,2018-07-03 00:56:19
3,208,2,Vanguard 500 Index Fund,2153079,2017-06-29 00:00:00,1.55%,75293175,2018-07-03 00:56:19
4,208,2,SPDR S&P 500 ETF Trust,1717360,2018-01-30 00:00:00,1.24%,90058356,2018-07-03 00:56:19
5,208,2,Vanguard Mid-Cap Index Fund,1691412,2017-06-29 00:00:00,1.22%,59148679,2018-07-03 00:56:19
6,208,2,Vanguard Small-Cap Index Fund,1587477,2017-06-29 00:00:00,1.14%,55514072,2018-07-03 00:56:19
7,208,2,Vanguard Institutional Index Fund-Institutional Index Fund,1494508,2017-06-29 00:00:00,1.08%,52262946,2018-07-03 00:56:19
8,208,2,Invesco Small Cap Value Fd,1472959,2017-12-30 00:00:00,1.06%,69243800,2018-07-03 00:56:19
9,208,2,Artisan Mid Cap Value Fund,1333830,2017-06-29 00:00:00,0.96%,46644036,2018-07-03 00:56:19
