,instrument_id,data_vendor_id,Holder,Shares,date_reported,percent_out,Value,refreshed_at
0,201,2,Invesco Ltd.,14260928,2017-12-30 00:00:00,10.90%,598388525,2018-07-03 00:53:42
1,201,2,Edgepoint Investment Group Inc.,13540539,2017-12-30 00:00:00,10.35%,568161004,2018-07-03 00:53:42
2,201,2,"Vanguard Group, Inc. (The)",13041527,2017-12-30 00:00:00,9.97%,547222460,2018-07-03 00:53:42
3,201,2,"First Eagle Investment Management, LLC",12968265,2017-12-30 00:00:00,9.91%,544148387,2018-07-03 00:53:42
4,201,2,Blackrock Inc.,8348224,2017-12-30 00:00:00,6.38%,350291471,2018-07-03 00:53:42
5,201,2,"FMR, LLC",7387701,2017-12-30 00:00:00,5.65%,309987927,2018-07-03 00:53:42
6,201,2,Price (T.Rowe) Associates Inc,5491762,2017-12-30 00:00:00,4.20%,230434328,2018-07-03 00:53:42
7,201,2,Causeway Capital Management LLC,5437483,2017-12-30 00:00:00,4.16%,228156781,2018-07-03 00:53:42
8,201,2,State Street Corporation,5270202,2017-12-30 00:00:00,4.03%,221137671,2018-07-03 00:53:42
9,201,2,Pictet Asset Management Ltd,2883249,2017-12-30 00:00:00,2.20%,120981125,2018-07-03 00:53:42
0,201,2,First Eagle Global Fund,8414508,2017-07-30 00:00:00,6.43%,347519173,2018-07-03 00:53:42
1,201,2,Invesco Diversified Dividend Fund,7830559,2017-12-30 00:00:00,5.99%,328570248,2018-07-03 00:53:42
2,201,2,Vanguard Mid-Cap Index Fund,3226058,2017-06-29 00:00:00,2.47%,146172692,2018-07-03 00:53:42
3,201,2,Vanguard Total Stock Market Index Fund,2990222,2017-06-29 00:00:00,2.29%,135486962,2018-07-03 00:53:42
4,201,2,Price (T.Rowe) Equity Income Fund,2650000,2017-12-30 00:00:00,2.03%,111193997,2018-07-03 00:53:42
5,201,2,Vanguard 500 Index Fund,2062928,2017-06-29 00:00:00,1.58%,93471270,2018-07-03 00:53:42
6,201,2,SPDR S&P 500 ETF Trust,1626363,2018-01-30 00:00:00,1.24%,73788087,2018-07-03 00:53:42
7,201,2,Fidelity Series Growth & Income Fund,1484400,2018-01-30 00:00:00,1.13%,67347226,2018-07-03 00:53:42
8,201,2,Vanguard Institutional Index Fund-Institutional Index Fund,1428744,2017-06-29 00:00:00,1.09%,64736392,2018-07-03 00:53:42
9,201,2,Fidelity Mid-Cap Stock Fund,1153400,2018-01-30 00:00:00,0.88%,52329756,2018-07-03 00:53:42
