,instrument_id,data_vendor_id,Holder,Shares,date_reported,percent_out,Value,refreshed_at
0,510,2,"ValueAct Holdings, L.P.",53326334,2017-12-30 00:00:00,6.68%,1817361560,2018-07-03 02:49:38
1,510,2,Price (T.Rowe) Associates Inc,40858424,2017-12-30 00:00:00,5.12%,1392455164,2018-07-03 02:49:38
2,510,2,"Vanguard Group, Inc. (The)",29147816,2017-12-30 00:00:00,3.65%,993357622,2018-07-03 02:49:38
3,510,2,Yacktman Asset Management Lp,28078485,2017-12-30 00:00:00,3.52%,956914820,2018-07-03 02:49:38
4,510,2,Eagle Capital Management LLC,25994342,2017-12-30 00:00:00,3.26%,885887222,2018-07-03 02:49:38
5,510,2,Blackrock Inc.,25798234,2017-12-30 00:00:00,3.23%,879203861,2018-07-03 02:49:38
6,510,2,State Street Corporation,17520719,2017-12-30 00:00:00,2.19%,597106135,2018-07-03 02:49:38
7,510,2,Morgan Stanley,15936154,2017-12-30 00:00:00,2.00%,543104157,2018-07-03 02:49:38
8,510,2,Dodge & Cox Inc,14041660,2017-12-30 00:00:00,1.76%,478539798,2018-07-03 02:49:38
9,510,2,Norges Bank Investment Management,13065213,2017-12-30 00:00:00,1.64%,445262482,2018-07-03 02:49:38
0,510,2,AMG Yacktman Focused Fd,13300000,2017-09-29 00:00:00,1.67%,356041006,2018-07-03 02:49:38
1,510,2,Price (T.Rowe) Equity Income Fund,11190000,2017-12-30 00:00:00,1.40%,381355220,2018-07-03 02:49:38
2,510,2,Vanguard Total Stock Market Index Fund,10597703,2017-06-29 00:00:00,1.33%,288469468,2018-07-03 02:49:38
3,510,2,Dodge & Cox Stock Fund,9350000,2017-09-29 00:00:00,1.17%,250299504,2018-07-03 02:49:38
4,510,2,AMG Yacktman Fd,8700000,2017-09-29 00:00:00,1.09%,232899003,2018-07-03 02:49:38
5,510,2,Vanguard 500 Index Fund,7692102,2017-06-29 00:00:00,0.96%,209379011,2018-07-03 02:49:38
6,510,2,Price (T.Rowe) Value Fund,6921900,2017-12-30 00:00:00,0.87%,235898364,2018-07-03 02:49:38
7,510,2,"Powershares Exhg Traded Fd Tr-Powershares QQQ Tr, Series 1",6451331,2018-01-30 00:00:00,0.81%,246053760,2018-07-03 02:49:38
8,510,2,FMI Large Cap Fund,5951000,2017-09-29 00:00:00,0.75%,159308272,2018-07-03 02:49:38
9,510,2,SPDR S&P 500 ETF Trust,5553320,2018-01-30 00:00:00,0.70%,211803621,2018-07-03 02:49:38
