,instrument_id,data_vendor_id,Holder,Shares,date_reported,percent_out,Value,refreshed_at
0,212,2,"Longview Asset Management, LLC",33322088,2017-12-30 00:00:00,11.18%,6793040880,2018-07-03 00:57:48
1,212,2,Newport Trust Co,21498757,2017-12-30 00:00:00,7.21%,4382736615,2018-07-03 00:57:48
2,212,2,"Vanguard Group, Inc. (The)",20420815,2017-12-30 00:00:00,6.85%,4162987358,2018-07-03 00:57:48
3,212,2,Capital Research Global Investors,18202422,2017-12-30 00:00:00,6.11%,3710745760,2018-07-03 00:57:48
4,212,2,Blackrock Inc.,16670214,2017-12-30 00:00:00,5.59%,3398389836,2018-07-03 00:57:48
5,212,2,State Street Corporation,11632918,2017-12-30 00:00:00,3.90%,2371486670,2018-07-03 00:57:48
6,212,2,Bank of America Corporation,8012850,2017-12-30 00:00:00,2.69%,1633499605,2018-07-03 00:57:48
7,212,2,"FMR, LLC",7463803,2017-12-30 00:00:00,2.50%,1521570884,2018-07-03 00:57:48
8,212,2,Wells Fargo & Company,6128475,2017-12-30 00:00:00,2.06%,1249350917,2018-07-03 00:57:48
9,212,2,JP Morgan Chase & Company,5845255,2017-12-30 00:00:00,1.96%,1191613687,2018-07-03 00:57:48
0,212,2,Investment Company Of America,6861200,2017-12-30 00:00:00,2.30%,1398724236,2018-07-03 00:57:48
1,212,2,Vanguard Total Stock Market Index Fund,5923978,2017-06-29 00:00:00,1.99%,1177923763,2018-07-03 00:57:48
2,212,2,Vanguard 500 Index Fund,4474388,2017-06-29 00:00:00,1.50%,889687293,2018-07-03 00:57:48
3,212,2,SPDR S&P 500 ETF Trust,3525246,2018-01-30 00:00:00,1.18%,794942973,2018-07-03 00:57:48
4,212,2,Vanguard Institutional Index Fund-Institutional Index Fund,3112478,2017-06-29 00:00:00,1.04%,618885114,2018-07-03 00:57:48
5,212,2,Amcap Fund,3087000,2017-12-30 00:00:00,1.04%,629315821,2018-07-03 00:57:48
6,212,2,Vanguard Specialized-Dividend Appreciation Index Fund,2585554,2017-07-30 00:00:00,0.87%,511784565,2018-07-03 00:57:48
7,212,2,Vanguard Specialized-Dividend Growth Fund,2392565,2017-07-30 00:00:00,0.80%,473584321,2018-07-03 00:57:48
8,212,2,Franklin Managed Trust - Rising Dividends Fund,2209190,2017-06-29 00:00:00,0.74%,439275331,2018-07-03 00:57:48
9,212,2,American Mutual Fund Inc,2165675,2017-12-30 00:00:00,0.73%,441494506,2018-07-03 00:57:48
