,instrument_id,data_vendor_id,Holder,Shares,date_reported,percent_out,Value,refreshed_at
0,215,2,Blackrock Inc.,103797247,2017-12-30 00:00:00,7.92%,7523224811,2018-07-03 00:58:55
1,215,2,"Vanguard Group, Inc. (The)",94765559,2017-12-30 00:00:00,7.23%,6868608034,2018-07-03 00:58:55
2,215,2,State Street Corporation,56475239,2017-12-30 00:00:00,4.31%,4093325512,2018-07-03 00:58:55
3,215,2,Capital Research Global Investors,32323241,2017-12-30 00:00:00,2.47%,2342788616,2018-07-03 00:58:55
4,215,2,Bank Of New York Mellon Corporation,30542928,2017-12-30 00:00:00,2.33%,2213751523,2018-07-03 00:58:55
5,215,2,"FMR, LLC",24120332,2017-12-30 00:00:00,1.84%,1748241744,2018-07-03 00:58:55
6,215,2,Parnassus Investments /ca,19159748,2017-12-30 00:00:00,1.46%,1388698599,2018-07-03 00:58:55
7,215,2,Invesco Ltd.,17549000,2017-12-30 00:00:00,1.34%,1271951578,2018-07-03 00:58:55
8,215,2,Price (T.Rowe) Associates Inc,17317328,2017-12-30 00:00:00,1.32%,1255159991,2018-07-03 00:58:55
9,215,2,Northern Trust Corporation,16704736,2017-12-30 00:00:00,1.28%,1210759321,2018-07-03 00:58:55
0,215,2,Vanguard Total Stock Market Index Fund,30072798,2017-06-29 00:00:00,2.30%,2124643224,2018-07-03 00:58:55
1,215,2,Vanguard 500 Index Fund,20618698,2017-06-29 00:00:00,1.57%,1456711045,2018-07-03 00:58:55
2,215,2,SPDR S&P 500 ETF Trust,16598921,2018-01-30 00:00:00,1.27%,1473984235,2018-07-03 00:58:55
3,215,2,Vanguard Institutional Index Fund-Institutional Index Fund,14340261,2017-06-29 00:00:00,1.09%,1013139461,2018-07-03 00:58:55
4,215,2,Investment Company Of America,12507791,2017-12-30 00:00:00,0.95%,906564733,2018-07-03 00:58:55
5,215,2,Parnassus Core Equity Fund,10663184,2017-09-29 00:00:00,0.81%,894214616,2018-07-03 00:58:55
6,215,2,"Powershares Exhg Traded Fd Tr-Powershares QQQ Tr, Series 1",10553163,2018-01-30 00:00:00,0.81%,937120906,2018-07-03 00:58:55
7,215,2,iShares NASDAQ Biotechnology ETF,10274590,2018-01-30 00:00:00,0.78%,912383623,2018-07-03 00:58:55
8,215,2,iShares Core S&P 500 ETF,8471871,2018-01-30 00:00:00,0.65%,752302170,2018-07-03 00:58:55
9,215,2,Vanguard Growth Index Fund,8316793,2017-06-29 00:00:00,0.63%,587581438,2018-07-03 00:58:55
