,instrument_id,data_vendor_id,Holder,Shares,date_reported,percent_out,Value,refreshed_at
0,216,2,Blackrock Inc.,44788041,2017-12-30 00:00:00,7.86%,2667127807,2018-07-03 00:59:17
1,216,2,"Vanguard Group, Inc. (The)",40646804,2017-12-30 00:00:00,7.13%,2420517147,2018-07-03 00:59:17
2,216,2,State Street Corporation,33941203,2017-12-30 00:00:00,5.95%,2021198612,2018-07-03 00:59:17
3,216,2,Massachusetts Financial Services Co.,21798370,2017-12-30 00:00:00,3.82%,1298092916,2018-07-03 00:59:17
4,216,2,Invesco Ltd.,18313572,2017-12-30 00:00:00,3.21%,1090573198,2018-07-03 00:59:17
5,216,2,Bank of America Corporation,12862518,2017-12-30 00:00:00,2.26%,765962937,2018-07-03 00:59:17
6,216,2,"American Century Companies, Inc.",10267121,2017-12-30 00:00:00,1.80%,611407047,2018-07-03 00:59:17
7,216,2,American International Group Inc,9960631,2017-12-30 00:00:00,1.75%,593155568,2018-07-03 00:59:17
8,216,2,Wells Fargo & Company,9432233,2017-12-30 00:00:00,1.65%,561689467,2018-07-03 00:59:17
9,216,2,Northern Trust Corporation,8537427,2017-12-30 00:00:00,1.50%,508403771,2018-07-03 00:59:17
0,216,2,Invesco Diversified Dividend Fund,13705818,2017-12-30 00:00:00,2.40%,816181451,2018-07-03 00:59:17
1,216,2,Vanguard Total Stock Market Index Fund,13295936,2017-06-29 00:00:00,2.33%,738190372,2018-07-03 00:59:17
2,216,2,Vanguard 500 Index Fund,9091216,2017-06-29 00:00:00,1.59%,504744316,2018-07-03 00:59:17
3,216,2,MFS Series Trust I-MFS Value Fund,8418713,2017-08-30 00:00:00,1.48%,456967731,2018-07-03 00:59:17
4,216,2,SPDR S&P 500 ETF Trust,7224534,2018-01-30 00:00:00,1.27%,430437748,2018-07-03 00:59:17
5,216,2,Vanguard Institutional Index Fund-Institutional Index Fund,6326933,2017-06-29 00:00:00,1.11%,351271323,2018-07-03 00:59:17
6,216,2,American Century Equity Income,4665798,2017-12-30 00:00:00,0.82%,277848267,2018-07-03 00:59:17
7,216,2,iShares Core S&P 500 ETF,3685927,2018-01-30 00:00:00,0.65%,219607537,2018-07-03 00:59:17
8,216,2,Fidelity 500 Index Fund,3513138,2018-01-30 00:00:00,0.62%,209312768,2018-07-03 00:59:17
9,216,2,Income Fund of America Inc,3200000,2017-12-30 00:00:00,0.56%,190559997,2018-07-03 00:59:17
