,instrument_id,data_vendor_id,Holder,Shares,date_reported,percent_out,Value,refreshed_at
0,480,2,"Vanguard Group, Inc. (The)",16217226,2017-12-30 00:00:00,10.17%,1626912107,2018-07-03 02:38:31
1,480,2,Price (T.Rowe) Associates Inc,15768890,2017-12-30 00:00:00,9.89%,1581935039,2018-07-03 02:38:31
2,480,2,"Wellington Management Company, LLP",15154459,2017-12-30 00:00:00,9.50%,1520295322,2018-07-03 02:38:31
3,480,2,Blackrock Inc.,11037401,2017-12-30 00:00:00,6.92%,1107272064,2018-07-03 02:38:31
4,480,2,"FMR, LLC",9046311,2017-12-30 00:00:00,5.67%,907525916,2018-07-03 02:38:31
5,480,2,"Vista Equity Partners Management, LLC",6115768,2017-12-30 00:00:00,3.83%,613533843,2018-07-03 02:38:31
6,480,2,State Street Corporation,5924472,2017-12-30 00:00:00,3.71%,594343029,2018-07-03 02:38:31
7,480,2,Artisan Partners Limited Partnership,5602213,2017-12-30 00:00:00,3.51%,562014006,2018-07-03 02:38:31
8,480,2,Massachusetts Financial Services Co.,5346592,2017-12-30 00:00:00,3.35%,536370107,2018-07-03 02:38:31
9,480,2,JP Morgan Chase & Company,4136626,2017-12-30 00:00:00,2.59%,414986319,2018-07-03 02:38:31
0,480,2,Vanguard Mid-Cap Index Fund,3768411,2017-06-29 00:00:00,2.36%,338629414,2018-07-03 02:38:31
1,480,2,Vanguard Total Stock Market Index Fund,3490413,2017-06-29 00:00:00,2.19%,313648514,2018-07-03 02:38:31
2,480,2,Artisan Mid-Cap Fund,3352640,2017-06-29 00:00:00,2.10%,301268232,2018-07-03 02:38:31
3,480,2,Price (T.Rowe) Blue Chip Growth Fund Inc.,3309400,2017-12-30 00:00:00,2.07%,331999006,2018-07-03 02:38:31
4,480,2,Price (T.Rowe) Mid Cap Growth Fund,3250000,2017-12-30 00:00:00,2.04%,326039999,2018-07-03 02:38:31
5,480,2,Vanguard 500 Index Fund,2404252,2017-06-29 00:00:00,1.51%,216046086,2018-07-03 02:38:31
6,480,2,New Perspective Fund Inc,2282000,2017-12-30 00:00:00,1.43%,228930239,2018-07-03 02:38:31
7,480,2,Hartford Mid Cap Fund,2275272,2017-10-30 00:00:00,1.43%,231804705,2018-07-03 02:38:31
8,480,2,Fidelity Contrafund Inc,2159034,2018-01-30 00:00:00,1.35%,242718598,2018-07-03 02:38:31
9,480,2,SPDR S&P 500 ETF Trust,2020579,2018-01-30 00:00:00,1.27%,227153487,2018-07-03 02:38:31
