,instrument_id,data_vendor_id,Holder,Shares,date_reported,percent_out,Value,refreshed_at
0,220,2,"Vanguard Group, Inc. (The)",5884588,2017-12-30 00:00:00,10.50%,1400296599,2018-07-03 01:00:47
1,220,2,Longview Partners (Guernsey) LTD,5157790,2017-12-30 00:00:00,9.20%,1227347743,2018-07-03 01:00:47
2,220,2,Blackrock Inc.,3516122,2017-12-30 00:00:00,6.27%,836696414,2018-07-03 01:00:47
3,220,2,State Street Corporation,3400735,2017-12-30 00:00:00,6.07%,809238923,2018-07-03 01:00:47
4,220,2,Mackenzie Financial Corporation,1750950,2017-12-30 00:00:00,3.12%,416656073,2018-07-03 01:00:47
5,220,2,"ClearBridge Investments, LLC",1724480,2017-12-30 00:00:00,3.08%,410357272,2018-07-03 01:00:47
6,220,2,Wells Fargo & Company,1438786,2017-12-30 00:00:00,2.57%,342373526,2018-07-03 01:00:47
7,220,2,"Ameriprise Financial, Inc.",1322002,2017-12-30 00:00:00,2.36%,314583604,2018-07-03 01:00:47
8,220,2,Northern Trust Corporation,1233623,2017-12-30 00:00:00,2.20%,293552937,2018-07-03 01:00:47
9,220,2,Massachusetts Financial Services Co.,1037856,2017-12-30 00:00:00,1.85%,246968220,2018-07-03 01:00:47
0,220,2,Vanguard Mid-Cap Index Fund,1227595,2017-06-29 00:00:00,2.19%,214927334,2018-07-03 01:00:47
1,220,2,Vanguard Total Stock Market Index Fund,1156446,2017-06-29 00:00:00,2.06%,202470567,2018-07-03 01:00:47
2,220,2,Vanguard 500 Index Fund,847654,2017-06-29 00:00:00,1.51%,148407263,2018-07-03 01:00:47
3,220,2,Legg Mason Clearbridge Large Cap Growth Fd,695149,2017-12-30 00:00:00,1.24%,165417660,2018-07-03 01:00:47
4,220,2,SPDR S&P 500 ETF Trust,658902,2018-01-30 00:00:00,1.18%,180855428,2018-07-03 01:00:47
5,220,2,Vanguard Institutional Index Fund-Institutional Index Fund,589167,2017-06-29 00:00:00,1.05%,103151359,2018-07-03 01:00:47
6,220,2,Franklin Managed Trust - Rising Dividends Fund,574300,2017-06-29 00:00:00,1.02%,100548445,2018-07-03 01:00:47
7,220,2,SPDR (R) Ser Tr- SPDR (R) S&P (R) Dividend ETF,549427,2018-01-30 00:00:00,0.98%,150806728,2018-07-03 01:00:47
8,220,2,Vanguard Specialized-Dividend Appreciation Index Fund,502546,2017-07-30 00:00:00,0.90%,83035673,2018-07-03 01:00:47
9,220,2,Select Sector SPDR Fund-Industrial,388098,2018-01-30 00:00:00,0.69%,106525143,2018-07-03 01:00:47
