,instrument_id,data_vendor_id,Holder,Shares,date_reported,percent_out,Value,refreshed_at
0,481,2,"Vanguard Group, Inc. (The)",37724942,2017-12-30 00:00:00,10.47%,793355556,2018-07-03 02:38:53
1,481,2,Blackrock Inc.,23045215,2017-12-30 00:00:00,6.40%,484640887,2018-07-03 02:38:53
2,481,2,Massachusetts Financial Services Co.,19468197,2017-12-30 00:00:00,5.40%,409416196,2018-07-03 02:38:53
3,481,2,State Street Corporation,14936380,2017-12-30 00:00:00,4.14%,314112081,2018-07-03 02:38:53
4,481,2,"Chieftain Capital Management, Inc.",12488544,2017-12-30 00:00:00,3.47%,262634088,2018-07-03 02:38:53
5,481,2,"Barrow, Hanley Mewhinney & Strauss, LLC",10323338,2017-12-30 00:00:00,2.86%,217099805,2018-07-03 02:38:53
6,481,2,Diamond Hill Capital Management Inc,10064090,2017-12-30 00:00:00,2.79%,211647819,2018-07-03 02:38:53
7,481,2,"FMR, LLC",9909270,2017-12-30 00:00:00,2.75%,208391954,2018-07-03 02:38:53
8,481,2,Bank Of New York Mellon Corporation,7843724,2017-12-30 00:00:00,2.18%,164953521,2018-07-03 02:38:53
9,481,2,"Oppenheimer Funds, Inc.",5756405,2017-12-30 00:00:00,1.60%,121057201,2018-07-03 02:38:53
0,481,2,Vanguard Mid-Cap Index Fund,8994728,2017-06-29 00:00:00,2.50%,205439588,2018-07-03 02:38:53
1,481,2,Vanguard Total Stock Market Index Fund,8444135,2017-06-29 00:00:00,2.34%,192864044,2018-07-03 02:38:53
2,481,2,MFS Series Trust I-MFS Value Fund,8361357,2017-08-30 00:00:00,2.32%,204936861,2018-07-03 02:38:53
3,481,2,Vanguard Selected Value Fund,6499800,2017-07-30 00:00:00,1.80%,151250348,2018-07-03 02:38:53
4,481,2,Vanguard 500 Index Fund,5747086,2017-06-29 00:00:00,1.59%,131263445,2018-07-03 02:38:53
5,481,2,SPDR S&P 500 ETF Trust,4720780,2018-01-30 00:00:00,1.31%,106642420,2018-07-03 02:38:53
6,481,2,Vanguard Institutional Index Fund-Institutional Index Fund,3992746,2017-06-29 00:00:00,1.11%,91194319,2018-07-03 02:38:53
7,481,2,Old Westbury Small & Mid Cap Strategies Fund,3594109,2017-07-30 00:00:00,1.00%,83634918,2018-07-03 02:38:53
8,481,2,Oppenheimer Main Street Mid Cap Fund,3183870,2017-06-29 00:00:00,0.88%,72719591,2018-07-03 02:38:53
9,481,2,Oppenheimer Rising Dividends Fund,2948090,2017-07-30 00:00:00,0.82%,68602055,2018-07-03 02:38:53
