,instrument_id,data_vendor_id,Holder,Shares,date_reported,percent_out,Value,refreshed_at
0,482,2,Blackrock Inc.,22002879,2017-12-30 00:00:00,6.25%,1943074190,2018-07-03 02:39:14
1,482,2,"Vanguard Group, Inc. (The)",19317094,2017-12-30 00:00:00,5.48%,1705892523,2018-07-03 02:39:14
2,482,2,"Wellington Management Company, LLP",18095739,2017-12-30 00:00:00,5.14%,1598034666,2018-07-03 02:39:14
3,482,2,Magellan Asset Management Ltd,16660349,2017-12-30 00:00:00,4.73%,1471275379,2018-07-03 02:39:14
4,482,2,Harris Associates L.P.,16512145,2017-12-30 00:00:00,4.69%,1458187484,2018-07-03 02:39:14
5,482,2,"Glenview Capital Management, LLC",12351122,2017-12-30 00:00:00,3.51%,1090727553,2018-07-03 02:39:14
6,482,2,State Street Corporation,12095435,2017-12-30 00:00:00,3.43%,1068147835,2018-07-03 02:39:14
7,482,2,Longview Partners (Guernsey) LTD,12022516,2017-12-30 00:00:00,3.41%,1061708358,2018-07-03 02:39:14
8,482,2,Price (T.Rowe) Associates Inc,5211569,2017-12-30 00:00:00,1.48%,460233645,2018-07-03 02:39:14
9,482,2,Highfields Capital Management L.P.,5184500,2017-12-30 00:00:00,1.47%,457843182,2018-07-03 02:39:14
0,482,2,Vanguard Specialized-Health Care Fund,11002078,2017-07-30 00:00:00,3.12%,885007181,2018-07-03 02:39:14
1,482,2,Vanguard Total Stock Market Index Fund,6785378,2017-06-29 00:00:00,1.93%,583610376,2018-07-03 02:39:14
2,482,2,Vanguard 500 Index Fund,4516405,2017-06-29 00:00:00,1.28%,388456003,2018-07-03 02:39:14
3,482,2,Vanguard/Wellington Fund Inc.,4028710,2017-08-30 00:00:00,1.14%,318912698,2018-07-03 02:39:14
4,482,2,SPDR S&P 500 ETF Trust,3647700,2018-01-30 00:00:00,1.04%,356088484,2018-07-03 02:39:14
5,482,2,Vanguard Institutional Index Fund-Institutional Index Fund,3137892,2017-06-29 00:00:00,0.89%,269890097,2018-07-03 02:39:14
6,482,2,Victory Portfolios-Sycamore Established Value Fund,1862600,2017-07-30 00:00:00,0.53%,149827548,2018-07-03 02:39:14
7,482,2,iShares Core S&P 500 ETF,1845247,2018-01-30 00:00:00,0.52%,180133017,2018-07-03 02:39:14
8,482,2,Fidelity 500 Index Fund,1750840,2018-01-30 00:00:00,0.50%,170917005,2018-07-03 02:39:14
9,482,2,Vanguard/Windsor Fund Inc.,1635349,2017-07-30 00:00:00,0.46%,131547477,2018-07-03 02:39:14
