,instrument_id,data_vendor_id,Holder,Shares,date_reported,percent_out,Value,refreshed_at
0,230,2,"Vanguard Group, Inc. (The)",83185751,2017-12-30 00:00:00,17.71%,2165325155,2018-07-03 01:04:30
1,230,2,Blackrock Inc.,48168073,2017-12-30 00:00:00,10.26%,1253814973,2018-07-03 01:04:30
2,230,2,State Street Corporation,27146697,2017-12-30 00:00:00,5.78%,706628541,2018-07-03 01:04:30
3,230,2,JP Morgan Chase & Company,15600865,2017-12-30 00:00:00,3.32%,406090526,2018-07-03 01:04:30
4,230,2,Bank Of New York Mellon Corporation,13470712,2017-12-30 00:00:00,2.87%,350642642,2018-07-03 01:04:30
5,230,2,Invesco Ltd.,11153459,2017-12-30 00:00:00,2.37%,290324545,2018-07-03 01:04:30
6,230,2,"Goldman Sachs Group, Inc.",9480977,2017-12-30 00:00:00,2.02%,246789837,2018-07-03 01:04:30
7,230,2,Security Capital Research & Management Inc. .,9372788,2017-12-30 00:00:00,2.00%,243973678,2018-07-03 01:04:30
8,230,2,Cohen & Steers Inc.,8598596,2017-12-30 00:00:00,1.83%,223821459,2018-07-03 01:04:30
9,230,2,PGGM Investments,8013000,2017-12-30 00:00:00,1.71%,208578395,2018-07-03 01:04:30
0,230,2,Vanguard Specialized-REIT Index Fund,35391179,2017-07-30 00:00:00,7.54%,1126501224,2018-07-03 01:04:30
1,230,2,Vanguard Total Stock Market Index Fund,10763687,2017-06-29 00:00:00,2.29%,352510749,2018-07-03 01:04:30
2,230,2,Vanguard 500 Index Fund,7387894,2017-06-29 00:00:00,1.57%,241953528,2018-07-03 01:04:30
3,230,2,SPDR S&P 500 ETF Trust,5860741,2018-01-30 00:00:00,1.25%,140716392,2018-07-03 01:04:30
4,230,2,Vanguard Institutional Index Fund-Institutional Index Fund,5137812,2017-06-29 00:00:00,1.09%,168263343,2018-07-03 01:04:30
5,230,2,DFA Real Estate Securities Portfolio,4450308,2017-07-30 00:00:00,0.95%,141653303,2018-07-03 01:04:30
6,230,2,Cohen & Steers Realty Shares Incorporated,4036405,2017-06-29 00:00:00,0.86%,132192263,2018-07-03 01:04:30
7,230,2,JP Morgan Realty Income Fund,3102687,2018-01-30 00:00:00,0.66%,74495515,2018-07-03 01:04:30
8,230,2,iShares Core S&P 500 ETF,3047650,2018-01-30 00:00:00,0.65%,73174077,2018-07-03 01:04:30
9,230,2,Nuveen Real Estate Securities Fund,3023329,2017-12-30 00:00:00,0.64%,78697255,2018-07-03 01:04:30
