,instrument_id,data_vendor_id,Holder,Shares,date_reported,percent_out,Value,refreshed_at
0,231,2,"Vanguard Group, Inc. (The)",80973105,2017-12-30 00:00:00,7.00%,15367075768,2018-07-03 01:04:52
1,231,2,Blackrock Inc.,71632846,2017-12-30 00:00:00,6.19%,13594481426,2018-07-03 01:04:52
2,231,2,Capital World Investors,62667021,2017-12-30 00:00:00,5.42%,11892947168,2018-07-03 01:04:52
3,231,2,State Street Corporation,53335043,2017-12-30 00:00:00,4.61%,10121924395,2018-07-03 01:04:52
4,231,2,"FMR, LLC",29839461,2017-12-30 00:00:00,2.58%,5662932872,2018-07-03 01:04:52
5,231,2,JP Morgan Chase & Company,20299350,2017-12-30 00:00:00,1.75%,3852410618,2018-07-03 01:04:52
6,231,2,Capital Research Global Investors,20223660,2017-12-30 00:00:00,1.75%,3838046170,2018-07-03 01:04:52
7,231,2,Bank of America Corporation,18554184,2017-12-30 00:00:00,1.60%,3521213016,2018-07-03 01:04:52
8,231,2,Northern Trust Corporation,17217887,2017-12-30 00:00:00,1.49%,3267610573,2018-07-03 01:04:52
9,231,2,Wells Fargo & Company,14229797,2017-12-30 00:00:00,1.23%,2700530857,2018-07-03 01:04:52
0,231,2,Vanguard Total Stock Market Index Fund,27528391,2017-06-29 00:00:00,2.38%,4190922397,2018-07-03 01:04:52
1,231,2,Washington Mutual Investors Fund,19091132,2017-12-30 00:00:00,1.65%,3623115007,2018-07-03 01:04:52
2,231,2,Vanguard 500 Index Fund,18898755,2017-06-29 00:00:00,1.63%,2877146565,2018-07-03 01:04:52
3,231,2,Growth Fund Of America Inc,18137200,2017-12-30 00:00:00,1.57%,3442077793,2018-07-03 01:04:52
4,231,2,SPDR S&P 500 ETF Trust,14841685,2018-01-30 00:00:00,1.28%,3041358063,2018-07-03 01:04:52
5,231,2,American Balanced Fund,14161000,2017-12-30 00:00:00,1.22%,2687474562,2018-07-03 01:04:52
6,231,2,Vanguard Institutional Index Fund-Institutional Index Fund,13116395,2017-06-29 00:00:00,1.13%,1996840046,2018-07-03 01:04:52
7,231,2,Fundamental Investors Inc,9950775,2017-12-30 00:00:00,0.86%,1888458067,2018-07-03 01:04:52
8,231,2,Vanguard Growth Index Fund,7609301,2017-06-29 00:00:00,0.66%,1158440026,2018-07-03 01:04:52
9,231,2,iShares Core S&P 500 ETF,7573697,2018-01-30 00:00:00,0.65%,1552001975,2018-07-03 01:04:52
