,instrument_id,data_vendor_id,Holder,Shares,date_reported,percent_out,Value,refreshed_at
0,233,2,"Vanguard Group, Inc. (The)",30235574,2017-12-30 00:00:00,9.60%,1462192377,2018-07-03 01:05:37
1,233,2,Blackrock Inc.,25764919,2017-12-30 00:00:00,8.18%,1245991498,2018-07-03 01:05:37
2,233,2,Price (T.Rowe) Associates Inc,22372235,2017-12-30 00:00:00,7.10%,1081921298,2018-07-03 01:05:37
3,233,2,Elliott Management Corporation,21120000,2017-12-30 00:00:00,6.70%,1021363212,2018-07-03 01:05:37
4,233,2,"Wellington Management Company, LLP",17396862,2017-12-30 00:00:00,5.52%,841312256,2018-07-03 01:05:37
5,233,2,State Street Corporation,14923778,2017-12-30 00:00:00,4.74%,721713913,2018-07-03 01:05:37
6,233,2,"Hotchkis & Wiley Capital Management, LLC",10386088,2017-12-30 00:00:00,3.30%,502271222,2018-07-03 01:05:37
7,233,2,Capital World Investors,6108746,2017-12-30 00:00:00,1.94%,295418960,2018-07-03 01:05:37
8,233,2,Invesco Ltd.,6073075,2017-12-30 00:00:00,1.93%,293693910,2018-07-03 01:05:37
9,233,2,Bank Of New York Mellon Corporation,5417438,2017-12-30 00:00:00,1.72%,261987304,2018-07-03 01:05:37
0,233,2,Vanguard Total Stock Market Index Fund,6927537,2017-06-29 00:00:00,2.20%,286592198,2018-07-03 01:05:37
1,233,2,Price (T.Rowe) Mid-Cap Value Fund,6435600,2017-12-30 00:00:00,2.04%,311225619,2018-07-03 01:05:37
2,233,2,Vanguard/Wellington Fund Inc.,6238750,2017-08-30 00:00:00,1.98%,238944120,2018-07-03 01:05:37
3,233,2,Price (T.Rowe) Equity Income Fund,4710000,2017-12-30 00:00:00,1.49%,227775602,2018-07-03 01:05:37
4,233,2,Blackrock Equity Dividend Fund,4579653,2017-07-30 00:00:00,1.45%,205168450,2018-07-03 01:05:37
5,233,2,Vanguard 500 Index Fund,4261537,2017-06-29 00:00:00,1.35%,176299781,2018-07-03 01:05:37
6,233,2,Select Sector SPDR Fund-Energy Select,4046379,2018-01-30 00:00:00,1.28%,211666091,2018-07-03 01:05:37
7,233,2,SPDR S&P 500 ETF Trust,3371899,2018-01-30 00:00:00,1.07%,176384041,2018-07-03 01:05:37
8,233,2,Vanguard/Windsor II,3178200,2017-07-30 00:00:00,1.01%,142383357,2018-07-03 01:05:37
9,233,2,Invesco Comstock Fd,2965128,2017-12-30 00:00:00,0.94%,143393591,2018-07-03 01:05:37
