,instrument_id,data_vendor_id,Holder,Shares,date_reported,percent_out,Value,refreshed_at
0,486,2,Blackrock Inc.,4727701,2017-12-30 00:00:00,10.56%,1132047990,2018-07-03 02:40:41
1,486,2,"Vanguard Group, Inc. (The)",4304714,2017-12-30 00:00:00,9.62%,1030763754,2018-07-03 02:40:41
2,486,2,"FMR, LLC",3209481,2017-12-30 00:00:00,7.17%,768510215,2018-07-03 02:40:41
3,486,2,State Street Corporation,2891110,2017-12-30 00:00:00,6.46%,692276280,2018-07-03 02:40:41
4,486,2,"AQR Capital Management, LLC",1918477,2017-12-30 00:00:00,4.29%,459379311,2018-07-03 02:40:41
5,486,2,"Goldman Sachs Group, Inc.",887047,2017-12-30 00:00:00,1.98%,212403401,2018-07-03 02:40:41
6,486,2,Bank of Montreal/Can/,855162,2017-12-30 00:00:00,1.91%,204768538,2018-07-03 02:40:41
7,486,2,Wells Fargo & Company,695760,2017-12-30 00:00:00,1.55%,166599729,2018-07-03 02:40:41
8,486,2,Bank Of New York Mellon Corporation,597808,2017-12-30 00:00:00,1.34%,143145123,2018-07-03 02:40:41
9,486,2,Bank of America Corporation,553799,2017-12-30 00:00:00,1.24%,132607168,2018-07-03 02:40:41
0,486,2,Vanguard Total Stock Market Index Fund,1056037,2017-06-29 00:00:00,2.36%,197447239,2018-07-03 02:40:41
1,486,2,iShares U.S. Aerospace & Defense ETF,623583,2018-01-30 00:00:00,1.39%,154461507,2018-07-03 02:40:41
2,486,2,Vanguard Extended Market Index Fund,581351,2017-06-29 00:00:00,1.30%,108695197,2018-07-03 02:40:41
3,486,2,Fidelity Magellan Fund Inc,580733,2018-01-30 00:00:00,1.30%,143847562,2018-07-03 02:40:41
4,486,2,SPDR S&P 500 ETF Trust,577749,2018-01-30 00:00:00,1.29%,143108425,2018-07-03 02:40:41
5,486,2,Fidelity Select Portfolios - Defense and Aerospace,574975,2018-01-30 00:00:00,1.28%,142421305,2018-07-03 02:40:41
6,486,2,Vanguard Mid-Cap Index Fund,568252,2017-06-29 00:00:00,1.27%,106246077,2018-07-03 02:40:41
7,486,2,Vanguard Small-Cap Index Fund,536797,2017-06-29 00:00:00,1.20%,100364935,2018-07-03 02:40:41
8,486,2,Fidelity Puritan Fund Inc,454800,2018-01-30 00:00:00,1.02%,112653958,2018-07-03 02:40:41
9,486,2,Franklin Custodian Funds-Growth Fund,425000,2017-06-29 00:00:00,0.95%,79462250,2018-07-03 02:40:41
