,instrument_id,data_vendor_id,Holder,Shares,date_reported,percent_out,Value,refreshed_at
0,554,2,"HNA Tourism Group Co., Ltd.",82500000,2017-12-30 00:00:00,26.10%,6637124748,2018-07-03 03:05:57
1,554,2,"Wellington Management Company, LLP",19474798,2017-12-30 00:00:00,6.16%,1566747439,2018-07-03 03:05:57
2,554,2,Blackstone Group L.P.,17391494,2017-12-30 00:00:00,5.50%,1399145639,2018-07-03 03:05:57
3,554,2,"Vanguard Group, Inc. (The)",14025652,2017-12-30 00:00:00,4.44%,1128363660,2018-07-03 03:05:57
4,554,2,JP Morgan Chase & Company,14005628,2017-12-30 00:00:00,4.43%,1126752729,2018-07-03 03:05:57
5,554,2,Price (T.Rowe) Associates Inc,13533242,2017-12-30 00:00:00,4.28%,1088749277,2018-07-03 03:05:57
6,554,2,Blackrock Inc.,12876314,2017-12-30 00:00:00,4.07%,1035899422,2018-07-03 03:05:57
7,554,2,Highfields Capital Management L.P.,7991408,2017-12-30 00:00:00,2.53%,642908749,2018-07-03 03:05:57
8,554,2,State Street Corporation,7801193,2017-12-30 00:00:00,2.47%,627605953,2018-07-03 03:05:57
9,554,2,"FMR, LLC",6905938,2017-12-30 00:00:00,2.18%,555582691,2018-07-03 03:05:57
0,554,2,Vanguard Total Stock Market Index Fund,4852419,2017-06-29 00:00:00,1.54%,307885989,2018-07-03 03:05:57
1,554,2,Fidelity Contrafund Inc,4679161,2018-01-30 00:00:00,1.48%,408397166,2018-07-03 03:05:57
2,554,2,Vanguard/Wellington Fund Inc.,3592523,2017-08-30 00:00:00,1.14%,226939671,2018-07-03 03:05:57
3,554,2,Vanguard 500 Index Fund,3234065,2017-06-29 00:00:00,1.02%,205201426,2018-07-03 03:05:57
4,554,2,JP Morgan Mid Cap Value Fund,2962892,2018-01-30 00:00:00,0.94%,258601210,2018-07-03 03:05:57
5,554,2,Price (T.Rowe) Institutional Large Cap Growth Fund,2758101,2017-12-30 00:00:00,0.87%,221889217,2018-07-03 03:05:57
6,554,2,SPDR S&P 500 ETF Trust,2580312,2018-01-30 00:00:00,0.82%,225209628,2018-07-03 03:05:57
7,554,2,Mainstay Large Cap Growth Fund,2471450,2017-07-30 00:00:00,0.78%,154366764,2018-07-03 03:05:57
8,554,2,Vanguard Institutional Index Fund-Institutional Index Fund,2246683,2017-06-29 00:00:00,0.71%,142552038,2018-07-03 03:05:57
9,554,2,Fundamental Investors Inc,1900000,2017-12-30 00:00:00,0.60%,152854994,2018-07-03 03:05:57
