,instrument_id,data_vendor_id,Holder,Shares,date_reported,percent_out,Value,refreshed_at
0,236,2,Blackrock Inc.,11346521,2017-12-30 00:00:00,10.33%,735481487,2018-07-03 01:06:43
1,236,2,"Vanguard Group, Inc. (The)",10829215,2017-12-30 00:00:00,9.86%,701949712,2018-07-03 01:06:43
2,236,2,Capital International Investors,8414954,2017-12-30 00:00:00,7.66%,545457315,2018-07-03 01:06:43
3,236,2,State Farm Mutual Automobile Insurance Co,8257200,2017-12-30 00:00:00,7.52%,535231701,2018-07-03 01:06:43
4,236,2,"Franklin Resources, Inc",7189211,2017-12-30 00:00:00,6.54%,466004654,2018-07-03 01:06:43
5,236,2,State Street Corporation,6483669,2017-12-30 00:00:00,5.90%,420271422,2018-07-03 01:06:43
6,236,2,Capital World Investors,6144000,2017-12-30 00:00:00,5.59%,398254078,2018-07-03 01:06:43
7,236,2,Bank Of New York Mellon Corporation,3393777,2017-12-30 00:00:00,3.09%,219984624,2018-07-03 01:06:43
8,236,2,Dimensional Fund Advisors LP,2618001,2017-12-30 00:00:00,2.38%,169698824,2018-07-03 01:06:43
9,236,2,Kiltearn Partners LLP,2557602,2017-12-30 00:00:00,2.33%,165783760,2018-07-03 01:06:43
0,236,2,"Capital Income Builder, Inc.",4332215,2017-12-30 00:00:00,3.94%,280814174,2018-07-03 01:06:43
1,236,2,iShares Select Dividend ETF,3573651,2018-01-30 00:00:00,3.25%,265629485,2018-07-03 01:06:43
2,236,2,Income Fund of America Inc,3500000,2017-12-30 00:00:00,3.19%,226869998,2018-07-03 01:06:43
3,236,2,Vanguard Mid-Cap Index Fund,2413295,2017-06-29 00:00:00,2.20%,127446112,2018-07-03 01:06:43
4,236,2,Fundamental Investors Inc,2374000,2017-12-30 00:00:00,2.16%,153882679,2018-07-03 01:06:43
5,236,2,Vanguard Total Stock Market Index Fund,2232248,2017-06-29 00:00:00,2.03%,117885019,2018-07-03 01:06:43
6,236,2,Select Sector SPDR Fund-Energy Select,1750293,2018-01-30 00:00:00,1.59%,130099281,2018-07-03 01:06:43
7,236,2,JNL Series Trust-JNL/S&P Dividend Income & Growth Fund,1740000,2017-06-29 00:00:00,1.58%,91889402,2018-07-03 01:06:43
8,236,2,Vanguard 500 Index Fund,1711480,2017-06-29 00:00:00,1.56%,90383261,2018-07-03 01:06:43
9,236,2,SPDR S&P 500 ETF Trust,1349645,2018-01-30 00:00:00,1.23%,100319115,2018-07-03 01:06:43
