,instrument_id,data_vendor_id,Holder,Shares,date_reported,percent_out,Value,refreshed_at
0,483,2,"Vanguard Group, Inc. (The)",16314565,2017-12-30 00:00:00,10.61%,1151155666,2018-07-03 02:39:35
1,483,2,Blackrock Inc.,11752750,2017-12-30 00:00:00,7.65%,829274011,2018-07-03 02:39:35
2,483,2,Generation Investment Management LLP,11026174,2017-12-30 00:00:00,7.17%,778006810,2018-07-03 02:39:35
3,483,2,Price (T.Rowe) Associates Inc,9399611,2017-12-30 00:00:00,6.12%,663236529,2018-07-03 02:39:35
4,483,2,State Street Corporation,6974719,2017-12-30 00:00:00,4.54%,492136155,2018-07-03 02:39:35
5,483,2,Mackenzie Financial Corporation,6023557,2017-12-30 00:00:00,3.92%,425022167,2018-07-03 02:39:35
6,483,2,"FMR, LLC",5914145,2017-12-30 00:00:00,3.85%,417302056,2018-07-03 02:39:35
7,483,2,"Alecta Pensionsforsakring, Omsesidigt",5313980,2017-12-30 00:00:00,3.46%,374954415,2018-07-03 02:39:35
8,483,2,"Select Equity Group, Inc.",3851132,2017-12-30 00:00:00,2.51%,271735864,2018-07-03 02:39:35
9,483,2,Brown Brothers Harriman & Co,3779011,2017-12-30 00:00:00,2.46%,266647006,2018-07-03 02:39:35
0,483,2,Vanguard Mid-Cap Index Fund,7841624,2017-06-29 00:00:00,5.10%,716998871,2018-07-03 02:39:35
1,483,2,Vanguard Total Stock Market Index Fund,7293976,2017-06-29 00:00:00,4.75%,666924677,2018-07-03 02:39:35
2,483,2,Vanguard 500 Index Fund,5005944,2017-06-29 00:00:00,3.26%,457718477,2018-07-03 02:39:35
3,483,2,Vanguard Institutional Index Fund-Institutional Index Fund,3479408,2017-06-29 00:00:00,2.26%,318139661,2018-07-03 02:39:35
4,483,2,Eaton Vance-Atlanta Capital SMID-Cap Port,2627488,2017-06-29 00:00:00,1.71%,240244358,2018-07-03 02:39:35
5,483,2,Vanguard Mid-Cap Value Index Fund,2538624,2017-06-29 00:00:00,1.65%,232119079,2018-07-03 02:39:35
6,483,2,Price (T.Rowe) Mid Cap Growth Fund,2500000,2017-12-30 00:00:00,1.63%,176399993,2018-07-03 02:39:35
7,483,2,Vanguard Growth Index Fund,2021252,2017-06-29 00:00:00,1.32%,184813171,2018-07-03 02:39:35
8,483,2,SPDR S&P 500 ETF Trust,2003878,2018-01-30 00:00:00,1.30%,159127959,2018-07-03 02:39:35
9,483,2,Fidelity Contrafund Inc,1772158,2018-01-30 00:00:00,1.15%,140727073,2018-07-03 02:39:35
