,instrument_id,data_vendor_id,Holder,Shares,date_reported,percent_out,Value,refreshed_at
0,239,2,Price (T.Rowe) Associates Inc,41087599,2017-12-30 00:00:00,7.06%,2897497343,2018-07-03 01:07:49
1,239,2,"Vanguard Group, Inc. (The)",40959533,2017-12-30 00:00:00,7.03%,2888466129,2018-07-03 01:07:49
2,239,2,Blackrock Inc.,37271704,2017-12-30 00:00:00,6.40%,2628400440,2018-07-03 01:07:49
3,239,2,State Street Corporation,25718468,2017-12-30 00:00:00,4.42%,1813666277,2018-07-03 01:07:49
4,239,2,"Wellington Management Company, LLP",24830906,2017-12-30 00:00:00,4.26%,1751075407,2018-07-03 01:07:49
5,239,2,JP Morgan Chase & Company,11737048,2017-12-30 00:00:00,2.02%,827696585,2018-07-03 01:07:49
6,239,2,Janus Henderson Group PLC,11080070,2017-12-30 00:00:00,1.90%,781366499,2018-07-03 01:07:49
7,239,2,Northern Trust Corporation,10966976,2017-12-30 00:00:00,1.88%,773391110,2018-07-03 01:07:49
8,239,2,Carmignac Gestion,10439455,2017-12-30 00:00:00,1.79%,736190331,2018-07-03 01:07:49
9,239,2,"Jackson Square Partners, LLC",8963416,2017-12-30 00:00:00,1.54%,632100066,2018-07-03 01:07:49
0,239,2,Vanguard Total Stock Market Index Fund,13681364,2017-06-29 00:00:00,2.35%,894487540,2018-07-03 01:07:49
1,239,2,Vanguard 500 Index Fund,9340433,2017-06-29 00:00:00,1.60%,610677483,2018-07-03 01:07:49
2,239,2,Vanguard/Wellington Fund Inc.,8906895,2017-08-30 00:00:00,1.53%,581620270,2018-07-03 01:07:49
3,239,2,SPDR S&P 500 ETF Trust,7450398,2018-01-30 00:00:00,1.28%,555129170,2018-07-03 01:07:49
4,239,2,Price (T.Rowe) Blue Chip Growth Fund Inc.,6689400,2017-12-30 00:00:00,1.15%,471736465,2018-07-03 01:07:49
5,239,2,Price (T.Rowe) Growth Stock Fund Inc.,6538465,2017-12-30 00:00:00,1.12%,461092529,2018-07-03 01:07:49
6,239,2,Vanguard Institutional Index Fund-Institutional Index Fund,6499426,2017-06-29 00:00:00,1.12%,424932454,2018-07-03 01:07:49
7,239,2,Select Sector SPDR Fund-Financial,5624854,2018-01-30 00:00:00,0.97%,419107883,2018-07-03 01:07:49
8,239,2,Janus Henderson Forty Fund,4531740,2017-12-30 00:00:00,0.78%,319578289,2018-07-03 01:07:49
9,239,2,American Mutual Fund Inc,4237090,2017-12-30 00:00:00,0.73%,298799572,2018-07-03 01:07:49
