,instrument_id,data_vendor_id,Holder,Shares,date_reported,percent_out,Value,refreshed_at
0,489,2,"Baker Brothers Advisors, LLC",34230523,2017-12-30 00:00:00,16.16%,3264907189,2018-07-03 02:41:50
1,489,2,"Vanguard Group, Inc. (The)",17997955,2017-12-30 00:00:00,8.50%,1716644898,2018-07-03 02:41:50
2,489,2,Price (T.Rowe) Associates Inc,14812315,2017-12-30 00:00:00,6.99%,1412798564,2018-07-03 02:41:50
3,489,2,Blackrock Inc.,14291645,2017-12-30 00:00:00,6.75%,1363137060,2018-07-03 02:41:50
4,489,2,"Wellington Management Company, LLP",13545347,2017-12-30 00:00:00,6.40%,1291955159,2018-07-03 02:41:50
5,489,2,"Sands Capital Management, Inc.",8191287,2017-12-30 00:00:00,3.87%,781284931,2018-07-03 02:41:50
6,489,2,State Street Corporation,7557004,2017-12-30 00:00:00,3.57%,720787020,2018-07-03 02:41:50
7,489,2,Capital International Investors,7205979,2017-12-30 00:00:00,3.40%,687306257,2018-07-03 02:41:50
8,489,2,Capital World Investors,6117424,2017-12-30 00:00:00,2.89%,583479884,2018-07-03 02:41:50
9,489,2,BB Biotech Ag,3698322,2017-12-30 00:00:00,1.75%,352745942,2018-07-03 02:41:50
0,489,2,Vanguard Specialized-Health Care Fund,9265098,2017-07-30 00:00:00,4.37%,1257644453,2018-07-03 02:41:50
1,489,2,New Perspective Fund Inc,6965700,2017-12-30 00:00:00,3.29%,664388446,2018-07-03 02:41:50
2,489,2,Vanguard Mid-Cap Index Fund,4302798,2017-06-29 00:00:00,2.03%,560697596,2018-07-03 02:41:50
3,489,2,Vanguard Total Stock Market Index Fund,4004883,2017-06-29 00:00:00,1.89%,521876293,2018-07-03 02:41:50
4,489,2,Price (T.Rowe) Growth Stock Fund Inc.,2876300,2017-12-30 00:00:00,1.36%,274341486,2018-07-03 02:41:50
5,489,2,iShares NASDAQ Biotechnology ETF,2822898,2018-01-30 00:00:00,1.33%,264053881,2018-07-03 02:41:50
6,489,2,Vanguard 500 Index Fund,2681103,2017-06-29 00:00:00,1.27%,349374525,2018-07-03 02:41:50
7,489,2,Price (T.Rowe) Health Sciences Fund,2382328,2017-12-30 00:00:00,1.12%,227226438,2018-07-03 02:41:50
8,489,2,SPDR S&P 500 ETF Trust,2223893,2018-01-30 00:00:00,1.05%,208022953,2018-07-03 02:41:50
9,489,2,Vanguard Institutional Index Fund-Institutional Index Fund,1863632,2017-06-29 00:00:00,0.88%,242849881,2018-07-03 02:41:50
