,instrument_id,data_vendor_id,Holder,Shares,date_reported,percent_out,Value,refreshed_at
0,553,2,"Vanguard Group, Inc. (The)",34720169,2017-12-30 00:00:00,8.68%,1572476485,2018-07-03 03:05:35
1,553,2,Artisan Partners Limited Partnership,30868659,2017-12-30 00:00:00,7.72%,1398041594,2018-07-03 03:05:35
2,553,2,Blackrock Inc.,23036135,2017-12-30 00:00:00,5.76%,1043306575,2018-07-03 03:05:35
3,553,2,"Wellington Management Company, LLP",22948719,2017-12-30 00:00:00,5.74%,1039347504,2018-07-03 03:05:35
4,553,2,Edgewood Management Company,17386222,2017-12-30 00:00:00,4.35%,787422010,2018-07-03 03:05:35
5,553,2,Temasek Holdings (Private) Limited,17336588,2017-12-30 00:00:00,4.34%,785174086,2018-07-03 03:05:35
6,553,2,Canada Pension Plan Investment Board,15820474,2017-12-30 00:00:00,3.96%,716509281,2018-07-03 03:05:35
7,553,2,"FMR, LLC",15567537,2017-12-30 00:00:00,3.89%,705053764,2018-07-03 03:05:35
8,553,2,State Street Corporation,15459476,2017-12-30 00:00:00,3.87%,700159682,2018-07-03 03:05:35
9,553,2,Price (T.Rowe) Associates Inc,9802356,2017-12-30 00:00:00,2.45%,443948712,2018-07-03 03:05:35
0,553,2,Artisan Mid-Cap Fund,8658668,2017-06-29 00:00:00,2.17%,392843757,2018-07-03 03:05:35
1,553,2,Vanguard Mid-Cap Index Fund,8546264,2017-06-29 00:00:00,2.14%,387743988,2018-07-03 03:05:35
2,553,2,Advisors Inner Circle Fund-Edgewood Growth Fd,8044328,2017-07-30 00:00:00,2.01%,374302572,2018-07-03 03:05:35
3,553,2,Vanguard Total Stock Market Index Fund,7979191,2017-06-29 00:00:00,2.00%,362015887,2018-07-03 03:05:35
4,553,2,Principal Mid Cap Fund,5617426,2018-01-30 00:00:00,1.40%,267108602,2018-07-03 03:05:35
5,553,2,Vanguard 500 Index Fund,5006839,2017-06-29 00:00:00,1.25%,227160280,2018-07-03 03:05:35
6,553,2,Fidelity Magellan Fund Inc,4867200,2018-01-30 00:00:00,1.22%,231435356,2018-07-03 03:05:35
7,553,2,SPDR S&P 500 ETF Trust,4610954,2018-01-30 00:00:00,1.15%,219250859,2018-07-03 03:05:35
8,553,2,Price (T.Rowe) Mid Cap Growth Fund,4500000,2017-12-30 00:00:00,1.13%,203805004,2018-07-03 03:05:35
9,553,2,Vanguard/Windsor Fund Inc.,4469783,2017-07-30 00:00:00,1.12%,207978997,2018-07-03 03:05:35
