,instrument_id,data_vendor_id,Holder,Shares,date_reported,percent_out,Value,refreshed_at
0,249,2,"Vanguard Group, Inc. (The)",342257408,2017-12-30 00:00:00,7.33%,15819137815,2018-07-03 01:11:44
1,249,2,Blackrock Inc.,295244846,2017-12-30 00:00:00,6.32%,13646217142,2018-07-03 01:11:44
2,249,2,Capital World Investors,221489028,2017-12-30 00:00:00,4.74%,10237223144,2018-07-03 01:11:44
3,249,2,State Street Corporation,197749228,2017-12-30 00:00:00,4.24%,9139969559,2018-07-03 01:11:44
4,249,2,Capital Research Global Investors,130432952,2017-12-30 00:00:00,2.79%,6028611200,2018-07-03 01:11:44
5,249,2,"Wellington Management Company, LLP",97723034,2017-12-30 00:00:00,2.09%,4516758750,2018-07-03 01:11:44
6,249,2,Bank of America Corporation,74959030,2017-12-30 00:00:00,1.61%,3464606458,2018-07-03 01:11:44
7,249,2,Northern Trust Corporation,61491010,2017-12-30 00:00:00,1.32%,2842114557,2018-07-03 01:11:44
8,249,2,Invesco Ltd.,59204927,2017-12-30 00:00:00,1.27%,2736451798,2018-07-03 01:11:44
9,249,2,"Geode Capital Management, LLC",57816884,2017-12-30 00:00:00,1.24%,2672296449,2018-07-03 01:11:44
0,249,2,Vanguard Total Stock Market Index Fund,108442405,2017-06-29 00:00:00,2.32%,3649087093,2018-07-03 01:11:44
1,249,2,Vanguard 500 Index Fund,74397657,2017-06-29 00:00:00,1.59%,2503481271,2018-07-03 01:11:44
2,249,2,SPDR S&P 500 ETF Trust,59475740,2018-01-30 00:00:00,1.27%,2972597457,2018-07-03 01:11:44
3,249,2,Washington Mutual Investors Fund,59037800,2017-12-30 00:00:00,1.26%,2728727188,2018-07-03 01:11:44
4,249,2,Income Fund of America Inc,56107600,2017-12-30 00:00:00,1.20%,2593293340,2018-07-03 01:11:44
5,249,2,Vanguard Institutional Index Fund-Institutional Index Fund,51661419,2017-06-29 00:00:00,1.11%,1738406828,2018-07-03 01:11:44
6,249,2,Vanguard/Wellington Fund Inc.,44937690,2017-08-30 00:00:00,0.96%,1557091027,2018-07-03 01:11:44
7,249,2,Fundamental Investors Inc,44346600,2017-12-30 00:00:00,0.95%,2049699906,2018-07-03 01:11:44
8,249,2,"Powershares Exhg Traded Fd Tr-Powershares QQQ Tr, Series 1",37856445,2018-01-30 00:00:00,0.81%,1892065103,2018-07-03 01:11:44
9,249,2,Investment Company Of America,35632000,2017-12-30 00:00:00,0.76%,1646911083,2018-07-03 01:11:44
