,instrument_id,data_vendor_id,Holder,Shares,date_reported,percent_out,Value,refreshed_at
0,560,2,"TPG Group Holdings (SBS) Advisors, Inc.",22865529,2017-12-30 00:00:00,10.98%,2247910100,2018-07-03 03:08:09
1,560,2,"Vanguard Group, Inc. (The)",16165869,2017-12-30 00:00:00,7.76%,1589266541,2018-07-03 03:08:09
2,560,2,Canada Pension Plan Investment Board,10543800,2017-12-30 00:00:00,5.06%,1036560952,2018-07-03 03:08:09
3,560,2,"Lone Pine Capital, LLC",9868332,2017-12-30 00:00:00,4.74%,970155694,2018-07-03 03:08:09
4,560,2,Blackrock Inc.,9627505,2017-12-30 00:00:00,4.62%,946479993,2018-07-03 03:08:09
5,560,2,Longview Partners (Guernsey) LTD,9474444,2017-12-30 00:00:00,4.55%,931432566,2018-07-03 03:08:09
6,560,2,"Glenview Capital Management, LLC",8576935,2017-12-30 00:00:00,4.12%,843198458,2018-07-03 03:08:09
7,560,2,State Street Corporation,6184700,2017-12-30 00:00:00,2.97%,608017841,2018-07-03 03:08:09
8,560,2,"Bain Capital Investors, LLC",5402050,2017-12-30 00:00:00,2.59%,531075522,2018-07-03 03:08:09
9,560,2,"Jackson Square Partners, LLC",4740072,2017-12-30 00:00:00,2.28%,465996466,2018-07-03 03:08:09
0,560,2,Vanguard Mid-Cap Index Fund,3536116,2017-06-29 00:00:00,1.70%,316376302,2018-07-03 03:08:09
1,560,2,Vanguard Total Stock Market Index Fund,3284237,2017-06-29 00:00:00,1.58%,293840688,2018-07-03 03:08:09
2,560,2,Janus Henderson Enterprise Fund,2225249,2017-12-30 00:00:00,1.07%,218764223,2018-07-03 03:08:09
3,560,2,Vanguard Specialized-Health Care Fund,1932497,2017-07-30 00:00:00,0.93%,175180855,2018-07-03 03:08:09
4,560,2,SPDR S&P 500 ETF Trust,1851575,2018-01-30 00:00:00,0.89%,195489291,2018-07-03 03:08:09
5,560,2,Price (T.Rowe) Mid Cap Growth Fund,1770129,2017-12-30 00:00:00,0.85%,174021377,2018-07-03 03:08:09
6,560,2,Vanguard Extended Market Index Fund,1721356,2017-06-29 00:00:00,0.83%,154009723,2018-07-03 03:08:09
7,560,2,Vanguard U.S. Growth Fund,1006115,2017-08-30 00:00:00,0.48%,96134291,2018-07-03 03:08:09
8,560,2,iShares Core S&P 500 ETF,948453,2018-01-30 00:00:00,0.46%,100137669,2018-07-03 03:08:09
9,560,2,Delaware Group Advisor Funds-U.S. Growth Fund,927456,2017-07-30 00:00:00,0.45%,84073887,2018-07-03 03:08:09
