,instrument_id,data_vendor_id,Holder,Shares,date_reported,percent_out,Value,refreshed_at
0,485,2,"Vanguard Group, Inc. (The)",9725690,2017-12-30 00:00:00,8.86%,1120788494,2018-07-03 02:40:18
1,485,2,Blackrock Inc.,6090548,2017-12-30 00:00:00,5.55%,701874738,2018-07-03 02:40:18
2,485,2,"FMR, LLC",4066809,2017-12-30 00:00:00,3.71%,468659060,2018-07-03 02:40:18
3,485,2,"Wellington Management Company, LLP",4021903,2017-12-30 00:00:00,3.66%,463484093,2018-07-03 02:40:18
4,485,2,State Street Corporation,3636737,2017-12-30 00:00:00,3.31%,419097564,2018-07-03 02:40:18
5,485,2,Atlanta Capital Management Company LLC,3531252,2017-12-30 00:00:00,3.22%,406941472,2018-07-03 02:40:18
6,485,2,Capital Research Global Investors,3024748,2017-12-30 00:00:00,2.76%,348571953,2018-07-03 02:40:18
7,485,2,Bank Of New York Mellon Corporation,2680820,2017-12-30 00:00:00,2.44%,308937691,2018-07-03 02:40:18
8,485,2,Waddell & Reed Financial Inc.,2379488,2017-12-30 00:00:00,2.17%,274212192,2018-07-03 02:40:18
9,485,2,"BESSEMER GROUP, INCORPORATED",2090946,2017-12-30 00:00:00,1.91%,240960612,2018-07-03 02:40:18
0,485,2,Eaton Vance-Atlanta Capital SMID-Cap Port,2969083,2017-06-29 00:00:00,2.71%,260388570,2018-07-03 02:40:18
1,485,2,Vanguard Mid-Cap Index Fund,2173161,2017-06-29 00:00:00,1.98%,190586213,2018-07-03 02:40:18
2,485,2,Vanguard Total Stock Market Index Fund,2046722,2017-06-29 00:00:00,1.86%,179497513,2018-07-03 02:40:18
3,485,2,Vanguard 500 Index Fund,1353999,2017-06-29 00:00:00,1.23%,118745708,2018-07-03 02:40:18
4,485,2,Vanguard/Windsor Fund Inc.,1222300,2017-07-30 00:00:00,1.11%,110459254,2018-07-03 02:40:18
5,485,2,SPDR S&P 500 ETF Trust,1107189,2018-01-30 00:00:00,1.01%,134811335,2018-07-03 02:40:18
6,485,2,Growth Fund Of America Inc,1034125,2017-12-30 00:00:00,0.94%,119172562,2018-07-03 02:40:18
7,485,2,JNL Series Trust-JNL/S&P Competitive Advantage Fund,1022000,2017-06-29 00:00:00,0.93%,89629396,2018-07-03 02:40:18
8,485,2,Capital World Growth and Income Fund,1000000,2017-12-30 00:00:00,0.91%,115239997,2018-07-03 02:40:18
9,485,2,American Century Ultra,957000,2017-12-30 00:00:00,0.87%,110284677,2018-07-03 02:40:18
