,instrument_id,data_vendor_id,Holder,Shares,date_reported,percent_out,Value,refreshed_at
0,256,2,State Street Corporation,13610156,2017-12-30 00:00:00,9.61%,906028080,2018-07-03 01:14:26
1,256,2,"Vanguard Group, Inc. (The)",12200143,2017-12-30 00:00:00,8.61%,812163515,2018-07-03 01:14:26
2,256,2,Primecap Management Company,8197422,2017-12-30 00:00:00,5.79%,545702380,2018-07-03 01:14:26
3,256,2,Blackrock Inc.,8139258,2017-12-30 00:00:00,5.75%,541830402,2018-07-03 01:14:26
4,256,2,"Ruane, Cunniff & Goldfarb Inc.",5672134,2017-12-30 00:00:00,4.00%,377593958,2018-07-03 01:14:26
5,256,2,Wells Fargo & Company,4288179,2017-12-30 00:00:00,3.03%,285464074,2018-07-03 01:14:26
6,256,2,"FMR, LLC",4218668,2017-12-30 00:00:00,2.98%,280836727,2018-07-03 01:14:26
7,256,2,Dimensional Fund Advisors LP,2964248,2017-12-30 00:00:00,2.09%,197329988,2018-07-03 01:14:26
8,256,2,Artisan Partners Limited Partnership,2307690,2017-12-30 00:00:00,1.63%,153622922,2018-07-03 01:14:26
9,256,2,FIL LTD,2263659,2017-12-30 00:00:00,1.60%,150691778,2018-07-03 01:14:26
0,256,2,Wells Fargo Special Mid Cap Value Fd,3507643,2018-01-30 00:00:00,2.48%,249218045,2018-07-03 01:14:26
1,256,2,Vanguard Mid-Cap Index Fund,2974382,2017-06-29 00:00:00,2.10%,159218664,2018-07-03 01:14:26
2,256,2,Vanguard Total Stock Market Index Fund,2810081,2017-06-29 00:00:00,1.98%,150423632,2018-07-03 01:14:26
3,256,2,Vanguard Horizon Fund-Capital Opportunity Portfolio,2648419,2017-06-29 00:00:00,1.87%,141769865,2018-07-03 01:14:26
4,256,2,Sequoia Fund Inc,2199307,2017-09-29 00:00:00,1.55%,128307570,2018-07-03 01:14:26
5,256,2,Victory Portfolios-Sycamore Established Value Fund,2060700,2017-07-30 00:00:00,1.45%,107960071,2018-07-03 01:14:26
6,256,2,Vanguard 500 Index Fund,1901946,2017-06-29 00:00:00,1.34%,101811167,2018-07-03 01:14:26
7,256,2,SPDR S&P 500 ETF Trust,1527187,2018-01-30 00:00:00,1.08%,108506641,2018-07-03 01:14:26
8,256,2,Primecap Odyssey Growth Fund,1420794,2017-12-30 00:00:00,1.00%,94582256,2018-07-03 01:14:26
9,256,2,Vanguard Institutional Index Fund-Institutional Index Fund,1325226,2017-06-29 00:00:00,0.94%,70939346,2018-07-03 01:14:26
