,instrument_id,data_vendor_id,Holder,Shares,date_reported,percent_out,Value,refreshed_at
0,253,2,"Vanguard Group, Inc. (The)",38400681,2017-12-30 00:00:00,11.17%,1108627692,2018-07-03 01:13:14
1,253,2,Dodge & Cox Inc,36092857,2017-12-30 00:00:00,10.50%,1042000811,2018-07-03 01:13:14
2,253,2,Blackrock Inc.,25401493,2017-12-30 00:00:00,7.39%,733341124,2018-07-03 01:13:14
3,253,2,State Street Corporation,15825103,2017-12-30 00:00:00,4.60%,456870736,2018-07-03 01:13:14
4,253,2,Diamond Hill Capital Management Inc,12988554,2017-12-30 00:00:00,3.78%,374979564,2018-07-03 01:13:14
5,253,2,Invesco Ltd.,9816895,2017-12-30 00:00:00,2.86%,283413766,2018-07-03 01:13:14
6,253,2,FIL LTD,9109728,2017-12-30 00:00:00,2.65%,262997855,2018-07-03 01:13:14
7,253,2,First Trust Advisors LP,8988140,2017-12-30 00:00:00,2.61%,259487609,2018-07-03 01:13:14
8,253,2,Bank Of New York Mellon Corporation,7304607,2017-12-30 00:00:00,2.12%,210884010,2018-07-03 01:13:14
9,253,2,"Goldman Sachs Group, Inc.",7210354,2017-12-30 00:00:00,2.10%,208162926,2018-07-03 01:13:14
0,253,2,Dodge & Cox Stock Fund,12700165,2017-09-29 00:00:00,3.69%,357001645,2018-07-03 01:13:14
1,253,2,Vanguard Mid-Cap Index Fund,9447089,2017-06-29 00:00:00,2.75%,263951671,2018-07-03 01:13:14
2,253,2,Vanguard Total Stock Market Index Fund,8716139,2017-06-29 00:00:00,2.54%,243528928,2018-07-03 01:13:14
3,253,2,Vanguard 500 Index Fund,6026392,2017-06-29 00:00:00,1.75%,168377395,2018-07-03 01:13:14
4,253,2,AMG Managers Fairpointe Mid Cap Fund,4812700,2017-07-30 00:00:00,1.40%,133648681,2018-07-03 01:13:14
5,253,2,SPDR S&P 500 ETF Trust,4787237,2018-01-30 00:00:00,1.39%,136340507,2018-07-03 01:13:14
6,253,2,Vanguard Institutional Index Fund-Institutional Index Fund,4200085,2017-06-29 00:00:00,1.22%,117350377,2018-07-03 01:13:14
7,253,2,First Trust Dow Jones Internet Index (SM) Fund,4169065,2017-09-29 00:00:00,1.21%,117192419,2018-07-03 01:13:14
8,253,2,Diamond Hill Large Cap Fund,3846721,2017-09-29 00:00:00,1.12%,108131329,2018-07-03 01:13:14
9,253,2,Invesco Equity & Income Fd,3219386,2017-12-30 00:00:00,0.94%,92943676,2018-07-03 01:13:14
