,instrument_id,data_vendor_id,Holder,Shares,date_reported,percent_out,Value,refreshed_at
0,261,2,Kellogg W K Foundation Trust,67606838,2017-12-30 00:00:00,19.55%,4599293106,2018-07-03 01:16:30
1,261,2,Keybank National Association,25802114,2017-12-30 00:00:00,7.46%,1755317783,2018-07-03 01:16:30
2,261,2,Blackrock Inc.,24688888,2017-12-30 00:00:00,7.14%,1679585020,2018-07-03 01:16:30
3,261,2,"Vanguard Group, Inc. (The)",22577557,2017-12-30 00:00:00,6.53%,1535951175,2018-07-03 01:16:30
4,261,2,Capital Research Global Investors,19667905,2017-12-30 00:00:00,5.69%,1338007553,2018-07-03 01:16:30
5,261,2,State Street Corporation,11215026,2017-12-30 00:00:00,3.24%,762958205,2018-07-03 01:16:30
6,261,2,Massachusetts Financial Services Co.,8180358,2017-12-30 00:00:00,2.37%,556509744,2018-07-03 01:16:30
7,261,2,American International Group Inc,7475250,2017-12-30 00:00:00,2.16%,508541248,2018-07-03 01:16:30
8,261,2,Capital World Investors,6880000,2017-12-30 00:00:00,1.99%,468046391,2018-07-03 01:16:30
9,261,2,State Farm Mutual Automobile Insurance Co,6345877,2017-12-30 00:00:00,1.84%,431710004,2018-07-03 01:16:30
0,261,2,Vanguard Total Stock Market Index Fund,5617698,2017-06-29 00:00:00,1.62%,389531158,2018-07-03 01:16:30
1,261,2,Investment Company Of America,5584000,2017-12-30 00:00:00,1.62%,379879513,2018-07-03 01:16:30
2,261,2,Income Fund of America Inc,5530000,2017-12-30 00:00:00,1.60%,376205893,2018-07-03 01:16:30
3,261,2,American Mutual Fund Inc,3987423,2017-12-30 00:00:00,1.15%,271264381,2018-07-03 01:16:30
4,261,2,Vanguard 500 Index Fund,3978833,2017-06-29 00:00:00,1.15%,275892265,2018-07-03 01:16:30
5,261,2,Capital World Growth and Income Fund,3350000,2017-12-30 00:00:00,0.97%,227900495,2018-07-03 01:16:30
6,261,2,SPDR S&P 500 ETF Trust,3155713,2018-01-30 00:00:00,0.91%,213831119,2018-07-03 01:16:30
7,261,2,Vanguard/Windsor II,3031325,2017-07-30 00:00:00,0.88%,205069140,2018-07-03 01:16:30
8,261,2,Vanguard Specialized-Dividend Appreciation Index Fund,2998869,2017-07-30 00:00:00,0.87%,202873492,2018-07-03 01:16:30
9,261,2,Vanguard Institutional Index Fund-Institutional Index Fund,2767235,2017-06-29 00:00:00,0.80%,191880064,2018-07-03 01:16:30
