,instrument_id,data_vendor_id,Holder,Shares,date_reported,percent_out,Value,refreshed_at
0,259,2,"Vanguard Group, Inc. (The)",142659938,2017-12-30 00:00:00,6.47%,2612103388,2018-07-03 01:15:45
1,259,2,Blackrock Inc.,117010236,2017-12-30 00:00:00,5.30%,2142457358,2018-07-03 01:15:45
2,259,2,"Wellington Management Company, LLP",102806274,2017-12-30 00:00:00,4.66%,1882382822,2018-07-03 01:15:45
3,259,2,State Street Corporation,97703984,2017-12-30 00:00:00,4.43%,1788959894,2018-07-03 01:15:45
4,259,2,"Franklin Resources, Inc",41606868,2017-12-30 00:00:00,1.89%,761821730,2018-07-03 01:15:45
5,259,2,Commonwealth Bank of Australia,28522652,2017-12-30 00:00:00,1.29%,522249742,2018-07-03 01:15:45
6,259,2,"Goldman Sachs Group, Inc.",28145740,2017-12-30 00:00:00,1.28%,515348484,2018-07-03 01:15:45
7,259,2,"FMR, LLC",27013655,2017-12-30 00:00:00,1.22%,494620008,2018-07-03 01:15:45
8,259,2,"FPR Partners, LLC",24428020,2017-12-30 00:00:00,1.11%,447277033,2018-07-03 01:15:45
9,259,2,Deutsche Bank Aktiengesellschaft,23019498,2017-12-30 00:00:00,1.04%,421486996,2018-07-03 01:15:45
0,259,2,Vanguard Total Stock Market Index Fund,43634364,2017-06-29 00:00:00,1.98%,825125816,2018-07-03 01:15:45
1,259,2,Vanguard 500 Index Fund,30291234,2017-06-29 00:00:00,1.37%,572807230,2018-07-03 01:15:45
2,259,2,Select Sector SPDR Fund-Energy Select,27092424,2018-01-30 00:00:00,1.23%,506899228,2018-07-03 01:15:45
3,259,2,SPDR S&P 500 ETF Trust,24267994,2018-01-30 00:00:00,1.10%,454054145,2018-07-03 01:15:45
4,259,2,Vanguard Institutional Index Fund-Institutional Index Fund,21053131,2017-06-29 00:00:00,0.95%,398114703,2018-07-03 01:15:45
5,259,2,Vanguard/Wellington Fund Inc.,17220370,2017-08-30 00:00:00,0.78%,327359237,2018-07-03 01:15:45
6,259,2,Tortoise MLP & Pipeline Fund,15385883,2017-11-29 00:00:00,0.70%,260944561,2018-07-03 01:15:45
7,259,2,Franklin Mutual Series Fund-Mutual Global Discovery Fund,13160358,2017-06-29 00:00:00,0.60%,248862367,2018-07-03 01:15:45
8,259,2,iShares Core S&P 500 ETF,12430236,2018-01-30 00:00:00,0.56%,232569704,2018-07-03 01:15:45
9,259,2,Fidelity 500 Index Fund,11871953,2018-01-30 00:00:00,0.54%,222124229,2018-07-03 01:15:45
