,instrument_id,data_vendor_id,Holder,Shares,date_reported,percent_out,Value,refreshed_at
0,267,2,"Vanguard Group, Inc. (The)",18231551,2017-12-30 00:00:00,10.08%,1181586775,2018-07-03 01:18:48
1,267,2,Primecap Management Company,14049575,2017-12-30 00:00:00,7.77%,910552921,2018-07-03 01:18:48
2,267,2,Blackrock Inc.,11271436,2017-12-30 00:00:00,6.23%,730501739,2018-07-03 01:18:48
3,267,2,"Principal Financial Group, Inc.",9256240,2017-12-30 00:00:00,5.12%,599896891,2018-07-03 01:18:48
4,267,2,State Street Corporation,7432092,2017-12-30 00:00:00,4.11%,481673864,2018-07-03 01:18:48
5,267,2,Price (T.Rowe) Associates Inc,6798457,2017-12-30 00:00:00,3.76%,440607981,2018-07-03 01:18:48
6,267,2,"Ruane, Cunniff & Goldfarb Inc.",6631532,2017-12-30 00:00:00,3.67%,429789572,2018-07-03 01:18:48
7,267,2,Harris Associates L.P.,6456746,2017-12-30 00:00:00,3.57%,418461692,2018-07-03 01:18:48
8,267,2,"Akre Capital Management, LLC",5153910,2017-12-30 00:00:00,2.85%,334024894,2018-07-03 01:18:48
9,267,2,Markel Corporation,4913070,2017-12-30 00:00:00,2.72%,318416054,2018-07-03 01:18:48
0,267,2,Principal Mid Cap Fund,6378109,2018-01-30 00:00:00,3.53%,461519971,2018-07-03 01:18:48
1,267,2,Professionally Managed Portf-Akre Focus Fund,4998100,2017-10-30 00:00:00,2.76%,374607579,2018-07-03 01:18:48
2,267,2,Vanguard Mid-Cap Index Fund,4579069,2017-06-29 00:00:00,2.53%,288939246,2018-07-03 01:18:48
3,267,2,Vanguard Total Stock Market Index Fund,4284370,2017-06-29 00:00:00,2.37%,270343740,2018-07-03 01:18:48
4,267,2,Vanguard Horizon Fund-Capital Opportunity Portfolio,3705297,2017-06-29 00:00:00,2.05%,233804235,2018-07-03 01:18:48
5,267,2,Sequoia Fund Inc,3364893,2017-09-29 00:00:00,1.86%,253544682,2018-07-03 01:18:48
6,267,2,Price (T.Rowe) Mid Cap Growth Fund,3250000,2017-12-30 00:00:00,1.80%,210632492,2018-07-03 01:18:48
7,267,2,Hennessy Focus Fund,2962712,2017-12-30 00:00:00,1.64%,192013357,2018-07-03 01:18:48
8,267,2,Vanguard 500 Index Fund,2921123,2017-06-29 00:00:00,1.62%,184322856,2018-07-03 01:18:48
9,267,2,Vanguard Fenway Fds-Primecap Core Fund,2658000,2017-06-29 00:00:00,1.47%,167719795,2018-07-03 01:18:48
