,instrument_id,data_vendor_id,Holder,Shares,date_reported,percent_out,Value,refreshed_at
0,260,2,"Berkshire Hathaway, Inc",400000000,2017-12-30 00:00:00,9.38%,18288000488,2018-07-03 01:16:07
1,260,2,"Vanguard Group, Inc. (The)",284276178,2017-12-30 00:00:00,6.67%,12997107205,2018-07-03 01:16:07
2,260,2,Blackrock Inc.,241978756,2017-12-30 00:00:00,5.67%,11063269019,2018-07-03 01:16:07
3,260,2,State Street Corporation,169621629,2017-12-30 00:00:00,3.98%,7755101084,2018-07-03 01:16:07
4,260,2,Capital World Investors,142688091,2017-12-30 00:00:00,3.35%,6523699694,2018-07-03 01:16:07
5,260,2,Bank of America Corporation,58371366,2017-12-30 00:00:00,1.37%,2668738924,2018-07-03 01:16:07
6,260,2,"FMR, LLC",57339886,2017-12-30 00:00:00,1.34%,2621579657,2018-07-03 01:16:07
7,260,2,Capital Research Global Investors,54922709,2017-12-30 00:00:00,1.29%,2511066322,2018-07-03 01:16:07
8,260,2,Northern Trust Corporation,52036190,2017-12-30 00:00:00,1.22%,2379094670,2018-07-03 01:16:07
9,260,2,Bank Of New York Mellon Corporation,41252148,2017-12-30 00:00:00,0.97%,1886048256,2018-07-03 01:16:07
0,260,2,Vanguard Total Stock Market Index Fund,88612244,2017-06-29 00:00:00,2.08%,3991981524,2018-07-03 01:16:07
1,260,2,Vanguard 500 Index Fund,60738022,2017-06-29 00:00:00,1.42%,2736247844,2018-07-03 01:16:07
2,260,2,SPDR S&P 500 ETF Trust,48706030,2018-01-30 00:00:00,1.14%,2323277668,2018-07-03 01:16:07
3,260,2,Vanguard Institutional Index Fund-Institutional Index Fund,42186310,2017-06-29 00:00:00,0.99%,1900493233,2018-07-03 01:16:07
4,260,2,Washington Mutual Investors Fund,38257200,2017-12-30 00:00:00,0.90%,1749119230,2018-07-03 01:16:07
5,260,2,Income Fund of America Inc,34904000,2017-12-30 00:00:00,0.82%,1595810922,2018-07-03 01:16:07
6,260,2,American Balanced Fund,34173000,2017-12-30 00:00:00,0.80%,1562389601,2018-07-03 01:16:07
7,260,2,"Capital Income Builder, Inc.",27230600,2017-12-30 00:00:00,0.64%,1244983065,2018-07-03 01:16:07
8,260,2,Fundamental Investors Inc,26285000,2017-12-30 00:00:00,0.62%,1201750232,2018-07-03 01:16:07
9,260,2,Franklin Custodian Funds-Income Fund,25000000,2017-06-29 00:00:00,0.59%,1126249980,2018-07-03 01:16:07
