,instrument_id,data_vendor_id,Holder,Shares,date_reported,percent_out,Value,refreshed_at
0,491,2,"Vanguard Group, Inc. (The)",29673757,2017-12-30 00:00:00,9.58%,1222262010,2018-07-03 02:42:35
1,491,2,Artisan Partners Limited Partnership,27188728,2017-12-30 00:00:00,8.78%,1119903668,2018-07-03 02:42:35
2,491,2,Blackrock Inc.,18779286,2017-12-30 00:00:00,6.07%,773518764,2018-07-03 02:42:35
3,491,2,State Street Corporation,12403265,2017-12-30 00:00:00,4.01%,510890468,2018-07-03 02:42:35
4,491,2,"Hound Partners, LLC",9576751,2017-12-30 00:00:00,3.09%,394466360,2018-07-03 02:42:35
5,491,2,Capital Research Global Investors,7479892,2017-12-30 00:00:00,2.42%,308096741,2018-07-03 02:42:35
6,491,2,JP Morgan Chase & Company,6389610,2017-12-30 00:00:00,2.06%,263188027,2018-07-03 02:42:35
7,491,2,Ubs Asset Management Americas Inc,6259733,2017-12-30 00:00:00,2.02%,257838393,2018-07-03 02:42:35
8,491,2,Norges Bank Investment Management,4972026,2017-12-30 00:00:00,1.61%,204797744,2018-07-03 02:42:35
9,491,2,"Goldman Sachs Group, Inc.",4513151,2017-12-30 00:00:00,1.46%,185896683,2018-07-03 02:42:35
0,491,2,Artisan Mid-Cap Fund,9006723,2017-06-29 00:00:00,2.91%,291367475,2018-07-03 02:42:35
1,491,2,Vanguard Mid-Cap Index Fund,7241355,2017-06-29 00:00:00,2.34%,234257823,2018-07-03 02:42:35
2,491,2,Amcap Fund,7002000,2017-12-30 00:00:00,2.26%,288412370,2018-07-03 02:42:35
3,491,2,Vanguard Total Stock Market Index Fund,6694438,2017-06-29 00:00:00,2.16%,216565059,2018-07-03 02:42:35
4,491,2,Vanguard 500 Index Fund,4863223,2017-06-29 00:00:00,1.57%,157325256,2018-07-03 02:42:35
5,491,2,SPDR S&P 500 ETF Trust,3847445,2018-01-30 00:00:00,1.24%,164324372,2018-07-03 02:42:35
6,491,2,Vanguard Institutional Index Fund-Institutional Index Fund,3376451,2017-06-29 00:00:00,1.09%,109228184,2018-07-03 02:42:35
7,491,2,Professionally Managed Portf-Akre Focus Fund,3150000,2017-10-30 00:00:00,1.02%,115038001,2018-07-03 02:42:35
8,491,2,Nicholas Fund Inc,2612782,2017-06-29 00:00:00,0.84%,84523493,2018-07-03 02:42:35
9,491,2,AMG Managers Fairpointe Mid Cap Fund,2503900,2017-07-30 00:00:00,0.81%,86459663,2018-07-03 02:42:35
