,instrument_id,data_vendor_id,Holder,Shares,date_reported,percent_out,Value,refreshed_at
0,277,2,"Lilly Endowment, Inc",123075804,2017-12-30 00:00:00,11.26%,10467597505,2018-07-03 01:22:31
1,277,2,"Vanguard Group, Inc. (The)",72222397,2017-12-30 00:00:00,6.61%,6142515085,2018-07-03 01:22:31
2,277,2,Blackrock Inc.,63854112,2017-12-30 00:00:00,5.84%,5430792420,2018-07-03 01:22:31
3,277,2,"Wellington Management Company, LLP",56663547,2017-12-30 00:00:00,5.19%,4819234845,2018-07-03 01:22:31
4,277,2,Primecap Management Company,55152577,2017-12-30 00:00:00,5.05%,4690726842,2018-07-03 01:22:31
5,277,2,State Street Corporation,41250191,2017-12-30 00:00:00,3.78%,3508328870,2018-07-03 01:22:31
6,277,2,"Franklin Resources, Inc",28519524,2017-12-30 00:00:00,2.61%,2425585603,2018-07-03 01:22:31
7,277,2,Dodge & Cox Inc,20181287,2017-12-30 00:00:00,1.85%,1716418520,2018-07-03 01:22:31
8,277,2,State Farm Mutual Automobile Insurance Co,19944525,2017-12-30 00:00:00,1.83%,1696281912,2018-07-03 01:22:31
9,277,2,JP Morgan Chase & Company,19121403,2017-12-30 00:00:00,1.75%,1626275383,2018-07-03 01:22:31
0,277,2,Vanguard Specialized-Health Care Fund,28073170,2017-07-30 00:00:00,2.57%,2332880384,2018-07-03 01:22:31
1,277,2,Vanguard/Primecap Fund,27937302,2017-06-29 00:00:00,2.56%,2319913583,2018-07-03 01:22:31
2,277,2,Vanguard Total Stock Market Index Fund,22866736,2017-06-29 00:00:00,2.09%,1898853778,2018-07-03 01:22:31
3,277,2,Vanguard 500 Index Fund,15359536,2017-06-29 00:00:00,1.41%,1275455883,2018-07-03 01:22:31
4,277,2,SPDR S&P 500 ETF Trust,12299029,2018-01-30 00:00:00,1.13%,1077394921,2018-07-03 01:22:31
5,277,2,Dodge & Cox Stock Fund,12125000,2017-09-29 00:00:00,1.11%,1026381268,2018-07-03 01:22:31
6,277,2,Vanguard Institutional Index Fund-Institutional Index Fund,10656000,2017-06-29 00:00:00,0.98%,884874249,2018-07-03 01:22:31
7,277,2,Vanguard/Wellington Fund Inc.,9099821,2017-08-30 00:00:00,0.83%,717429854,2018-07-03 01:22:31
8,277,2,Vanguard Horizon Fund-Capital Opportunity Portfolio,7660100,2017-06-29 00:00:00,0.70%,636094711,2018-07-03 01:22:31
9,277,2,iShares Core S&P 500 ETF,6283693,2018-01-30 00:00:00,0.58%,550451497,2018-07-03 01:22:31
