,instrument_id,data_vendor_id,Holder,Shares,date_reported,percent_out,Value,refreshed_at
0,276,2,State Street Corporation,47056680,2017-12-30 00:00:00,16.46%,15156956915,2018-07-03 01:22:08
1,276,2,Capital World Investors,21948570,2017-12-30 00:00:00,7.68%,7069634530,2018-07-03 01:22:08
2,276,2,"Vanguard Group, Inc. (The)",20251879,2017-12-30 00:00:00,7.09%,6523130349,2018-07-03 01:22:08
3,276,2,Blackrock Inc.,19193367,2017-12-30 00:00:00,6.72%,6182183627,2018-07-03 01:22:08
4,276,2,Bank of America Corporation,8848597,2017-12-30 00:00:00,3.10%,2850133147,2018-07-03 01:22:08
5,276,2,Capital Research Global Investors,8582761,2017-12-30 00:00:00,3.00%,2764507370,2018-07-03 01:22:08
6,276,2,"Wellington Management Company, LLP",7698382,2017-12-30 00:00:00,2.69%,2479648889,2018-07-03 01:22:08
7,276,2,Capital International Investors,4313260,2017-12-30 00:00:00,1.51%,1389301072,2018-07-03 01:22:08
8,276,2,Northern Trust Corporation,3283849,2017-12-30 00:00:00,1.15%,1057727782,2018-07-03 01:22:08
9,276,2,Wells Fargo & Company,3211886,2017-12-30 00:00:00,1.12%,1034548500,2018-07-03 01:22:08
0,276,2,Washington Mutual Investors Fund,8292897,2017-12-30 00:00:00,2.90%,2671142174,2018-07-03 01:22:08
1,276,2,Income Fund of America Inc,6397400,2017-12-30 00:00:00,2.24%,2060602579,2018-07-03 01:22:08
2,276,2,Vanguard Total Stock Market Index Fund,5674337,2017-06-29 00:00:00,1.99%,1576500972,2018-07-03 01:22:08
3,276,2,"Capital Income Builder, Inc.",4398074,2017-12-30 00:00:00,1.54%,1416619662,2018-07-03 01:22:08
4,276,2,Vanguard 500 Index Fund,3939095,2017-06-29 00:00:00,1.38%,1094398710,2018-07-03 01:22:08
5,276,2,American Balanced Fund,3807037,2017-12-30 00:00:00,1.33%,1226246640,2018-07-03 01:22:08
6,276,2,Fundamental Investors Inc,3205000,2017-12-30 00:00:00,1.12%,1032330519,2018-07-03 01:22:08
7,276,2,SPDR S&P 500 ETF Trust,3161593,2018-01-30 00:00:00,1.11%,1111047054,2018-07-03 01:22:08
8,276,2,Vanguard Specialized-Dividend Growth Fund,2824935,2017-07-30 00:00:00,0.99%,820389383,2018-07-03 01:22:08
9,276,2,Vanguard Institutional Index Fund-Institutional Index Fund,2731862,2017-06-29 00:00:00,0.96%,758993182,2018-07-03 01:22:08
