,instrument_id,data_vendor_id,Holder,Shares,date_reported,percent_out,Value,refreshed_at
0,286,2,Primecap Management Company,70482151,2017-12-30 00:00:00,11.99%,4642659479,2018-07-03 01:25:54
1,286,2,"Berkshire Hathaway, Inc",47659456,2017-12-30 00:00:00,8.11%,3139328497,2018-07-03 01:25:54
2,286,2,"Vanguard Group, Inc. (The)",36801854,2017-12-30 00:00:00,6.26%,2424138224,2018-07-03 01:25:54
3,286,2,Blackrock Inc.,29879666,2017-12-30 00:00:00,5.08%,1968173681,2018-07-03 01:25:54
4,286,2,"FMR, LLC",29649876,2017-12-30 00:00:00,5.04%,1953037413,2018-07-03 01:25:54
5,286,2,State Street Corporation,20247266,2017-12-30 00:00:00,3.44%,1333687467,2018-07-03 01:25:54
6,286,2,"Ameriprise Financial, Inc.",10937336,2017-12-30 00:00:00,1.86%,720442352,2018-07-03 01:25:54
7,286,2,Price (T.Rowe) Associates Inc,9745336,2017-12-30 00:00:00,1.66%,641925309,2018-07-03 01:25:54
8,286,2,JP Morgan Chase & Company,9004727,2017-12-30 00:00:00,1.53%,593141392,2018-07-03 01:25:54
9,286,2,Bank Of New York Mellon Corporation,8286126,2017-12-30 00:00:00,1.41%,545807142,2018-07-03 01:25:54
0,286,2,Vanguard/Primecap Fund,33331700,2017-06-29 00:00:00,5.67%,2050232811,2018-07-03 01:25:54
1,286,2,Vanguard Total Stock Market Index Fund,12704027,2017-06-29 00:00:00,2.16%,781424679,2018-07-03 01:25:54
2,286,2,Vanguard Horizon Fund-Capital Opportunity Portfolio,10985800,2017-06-29 00:00:00,1.87%,675736539,2018-07-03 01:25:54
3,286,2,Fidelity Contrafund Inc,10362192,2018-01-30 00:00:00,1.76%,625461915,2018-07-03 01:25:54
4,286,2,Vanguard 500 Index Fund,9540588,2017-06-29 00:00:00,1.62%,586841551,2018-07-03 01:25:54
5,286,2,Vanguard Fenway Fds-Primecap Core Fund,9006525,2017-06-29 00:00:00,1.53%,553991337,2018-07-03 01:25:54
6,286,2,SPDR S&P 500 ETF Trust,6958613,2018-01-30 00:00:00,1.18%,420021884,2018-07-03 01:25:54
7,286,2,Vanguard Institutional Index Fund-Institutional Index Fund,6630629,2017-06-29 00:00:00,1.13%,407849978,2018-07-03 01:25:54
8,286,2,Primecap Odyssey Stock Fund,3970500,2017-12-30 00:00:00,0.68%,261536845,2018-07-03 01:25:54
9,286,2,iShares Core S&P 500 ETF,3540568,2018-01-30 00:00:00,0.60%,213708686,2018-07-03 01:25:54
