,instrument_id,data_vendor_id,Holder,Shares,date_reported,percent_out,Value,refreshed_at
0,288,2,"FMR, LLC",34088553,2017-12-30 00:00:00,8.64%,3789283676,2018-07-03 01:26:40
1,288,2,"Vanguard Group, Inc. (The)",24772072,2017-12-30 00:00:00,6.28%,2753663614,2018-07-03 01:26:40
2,288,2,Capital World Investors,21336675,2017-12-30 00:00:00,5.41%,2371784871,2018-07-03 01:26:40
3,288,2,Blackrock Inc.,20604535,2017-12-30 00:00:00,5.22%,2290400186,2018-07-03 01:26:40
4,288,2,State Street Corporation,15204858,2017-12-30 00:00:00,3.85%,1690172070,2018-07-03 01:26:40
5,288,2,"AQR Capital Management, LLC",9876035,2017-12-30 00:00:00,2.50%,1097820086,2018-07-03 01:26:40
6,288,2,"Goldman Sachs Group, Inc.",7080763,2017-12-30 00:00:00,1.79%,787097641,2018-07-03 01:26:40
7,288,2,"Wellington Management Company, LLP",5622163,2017-12-30 00:00:00,1.42%,624959659,2018-07-03 01:26:40
8,288,2,"Ameriprise Financial, Inc.",5460516,2017-12-30 00:00:00,1.38%,606990978,2018-07-03 01:26:40
9,288,2,Janus Henderson Group PLC,5188015,2017-12-30 00:00:00,1.31%,576699766,2018-07-03 01:26:40
0,288,2,Vanguard Total Stock Market Index Fund,7398885,2017-06-29 00:00:00,1.88%,607226489,2018-07-03 01:26:40
1,288,2,Income Fund of America Inc,6880000,2017-12-30 00:00:00,1.74%,764780825,2018-07-03 01:26:40
2,288,2,American Balanced Fund,6172100,2017-12-30 00:00:00,1.56%,686090658,2018-07-03 01:26:40
3,288,2,"Sunamerica Series, Inc-AIG Focused Dividend Strategy Fund",5220105,2017-07-30 00:00:00,1.32%,469235235,2018-07-03 01:26:40
4,288,2,Vanguard 500 Index Fund,5211868,2017-06-29 00:00:00,1.32%,427738005,2018-07-03 01:26:40
5,288,2,SPDR S&P 500 ETF Trust,4108943,2018-01-30 00:00:00,1.04%,496812313,2018-07-03 01:26:40
6,288,2,Vanguard Institutional Index Fund-Institutional Index Fund,3627834,2017-06-29 00:00:00,0.92%,297736335,2018-07-03 01:26:40
7,288,2,Fundamental Investors Inc,3531000,2017-12-30 00:00:00,0.89%,392505972,2018-07-03 01:26:40
8,288,2,Vanguard/Wellington Fund Inc.,3392359,2017-08-30 00:00:00,0.86%,306397863,2018-07-03 01:26:40
9,288,2,Select Sector SPDR Fund-Materials,2535778,2018-01-30 00:00:00,0.64%,306600927,2018-07-03 01:26:40
