,instrument_id,data_vendor_id,Holder,Shares,date_reported,percent_out,Value,refreshed_at
0,281,2,"Vanguard Group, Inc. (The)",66847249,2017-12-30 00:00:00,6.44%,10145407266,2018-07-03 01:24:00
1,281,2,Blackrock Inc.,63345804,2017-12-30 00:00:00,6.11%,9613992943,2018-07-03 01:24:00
2,281,2,"FMR, LLC",37235813,2017-12-30 00:00:00,3.59%,5651279498,2018-07-03 01:24:00
3,281,2,State Street Corporation,36315256,2017-12-30 00:00:00,3.50%,5511566558,2018-07-03 01:24:00
4,281,2,Price (T.Rowe) Associates Inc,34864782,2017-12-30 00:00:00,3.36%,5291428113,2018-07-03 01:24:00
5,281,2,Janus Henderson Group PLC,15682408,2017-12-30 00:00:00,1.51%,2380119129,2018-07-03 01:24:00
6,281,2,Capital Research Global Investors,15524133,2017-12-30 00:00:00,1.50%,2356097731,2018-07-03 01:24:00
7,281,2,Jennison Associates LLC,15246959,2017-12-30 00:00:00,1.47%,2314031032,2018-07-03 01:24:00
8,281,2,Bank Of New York Mellon Corporation,14565996,2017-12-30 00:00:00,1.40%,2210681275,2018-07-03 01:24:00
9,281,2,Capital World Investors,13524310,2017-12-30 00:00:00,1.30%,2052584586,2018-07-03 01:24:00
0,281,2,Vanguard Total Stock Market Index Fund,21900088,2017-06-29 00:00:00,2.11%,2688016754,2018-07-03 01:24:00
1,281,2,Vanguard 500 Index Fund,14824872,2017-06-29 00:00:00,1.43%,1819604757,2018-07-03 01:24:00
2,281,2,SPDR S&P 500 ETF Trust,11822030,2018-01-30 00:00:00,1.14%,1992603192,2018-07-03 01:24:00
3,281,2,Fidelity Contrafund Inc,11615010,2018-01-30 00:00:00,1.12%,1957709970,2018-07-03 01:24:00
4,281,2,Growth Fund Of America Inc,11566000,2017-12-30 00:00:00,1.12%,1755371869,2018-07-03 01:24:00
5,281,2,Vanguard Institutional Index Fund-Institutional Index Fund,10293044,2017-06-29 00:00:00,0.99%,1263368198,2018-07-03 01:24:00
6,281,2,Price (T.Rowe) Blue Chip Growth Fund Inc.,7983400,2017-12-30 00:00:00,0.77%,1211640652,2018-07-03 01:24:00
7,281,2,Price (T.Rowe) Growth Stock Fund Inc.,6643430,2017-12-30 00:00:00,0.64%,1008273399,2018-07-03 01:24:00
8,281,2,Harbor Capital Appreciation Fund,6227102,2017-12-30 00:00:00,0.60%,945087297,2018-07-03 01:24:00
9,281,2,Vanguard Growth Index Fund,6037558,2017-06-29 00:00:00,0.58%,741049856,2018-07-03 01:24:00
