,instrument_id,data_vendor_id,Holder,Shares,date_reported,percent_out,Value,refreshed_at
0,283,2,Ontario Teachers' Pension Plan Board,23286237,2017-12-30 00:00:00,16.53%,1537124554,2018-07-03 01:24:44
1,283,2,"Vanguard Group, Inc. (The)",22382637,2017-12-30 00:00:00,15.89%,1477477916,2018-07-03 01:24:44
2,283,2,Blackrock Inc.,11422384,2017-12-30 00:00:00,8.11%,753991592,2018-07-03 01:24:44
3,283,2,State Street Corporation,6843476,2017-12-30 00:00:00,4.86%,451737865,2018-07-03 01:24:44
4,283,2,Invesco Ltd.,5769189,2017-12-30 00:00:00,4.10%,380824178,2018-07-03 01:24:44
5,283,2,Morgan Stanley,4990286,2017-12-30 00:00:00,3.54%,329408789,2018-07-03 01:24:44
6,283,2,Price (T.Rowe) Associates Inc,4504474,2017-12-30 00:00:00,3.20%,297340338,2018-07-03 01:24:44
7,283,2,Cbre Clarion Securities LLC,3205186,2017-12-30 00:00:00,2.28%,211574334,2018-07-03 01:24:44
8,283,2,Deutsche Bank Aktiengesellschaft,2463424,2017-12-30 00:00:00,1.75%,162610623,2018-07-03 01:24:44
9,283,2,"FMR, LLC",2319572,2017-12-30 00:00:00,1.65%,153114952,2018-07-03 01:24:44
0,283,2,Vanguard Specialized-REIT Index Fund,9246024,2017-07-30 00:00:00,6.56%,534882474,2018-07-03 01:24:44
1,283,2,Vanguard Mid-Cap Index Fund,3501871,2017-06-29 00:00:00,2.49%,206015077,2018-07-03 01:24:44
2,283,2,Price (T.Rowe) Real Estate Fund Inc.,3294900,2017-12-30 00:00:00,2.34%,217496356,2018-07-03 01:24:44
3,283,2,Vanguard Total Stock Market Index Fund,3288474,2017-06-29 00:00:00,2.33%,193460931,2018-07-03 01:24:44
4,283,2,Vanguard 500 Index Fund,1881140,2017-06-29 00:00:00,1.34%,110667469,2018-07-03 01:24:44
5,283,2,Powershares Exgh Traded Fd Tr II-Pwrshs S&P 500 High Dividend Port,1447017,2018-01-30 00:00:00,1.03%,95532057,2018-07-03 01:24:44
6,283,2,DFA Real Estate Securities Portfolio,1438568,2017-07-30 00:00:00,1.02%,83221156,2018-07-03 01:24:44
7,283,2,SPDR S&P 500 ETF Trust,1375651,2018-01-30 00:00:00,0.98%,90820474,2018-07-03 01:24:44
8,283,2,Vanguard Institutional Index Fund-Institutional Index Fund,1305810,2017-06-29 00:00:00,0.93%,76820804,2018-07-03 01:24:44
9,283,2,Vanguard Mid-Cap Value Index Fund,1134385,2017-06-29 00:00:00,0.81%,66735871,2018-07-03 01:24:44
