,instrument_id,data_vendor_id,Holder,Shares,date_reported,percent_out,Value,refreshed_at
0,287,2,"Vanguard Group, Inc. (The)",58026867,2017-12-30 00:00:00,7.30%,10044451031,2018-07-03 01:26:17
1,287,2,Blackrock Inc.,55535177,2017-12-30 00:00:00,6.99%,9613139477,2018-07-03 01:26:17
2,287,2,State Street Corporation,40742460,2017-12-30 00:00:00,5.13%,7052520074,2018-07-03 01:26:17
3,287,2,Capital World Investors,22041375,2017-12-30 00:00:00,2.77%,3815362147,2018-07-03 01:26:17
4,287,2,"FMR, LLC",14067505,2017-12-30 00:00:00,1.77%,2435085201,2018-07-03 01:26:17
5,287,2,Bank of America Corporation,13370016,2017-12-30 00:00:00,1.68%,2314349851,2018-07-03 01:26:17
6,287,2,Northern Trust Corporation,11809876,2017-12-30 00:00:00,1.49%,2044289607,2018-07-03 01:26:17
7,287,2,Capital Research Global Investors,11744822,2017-12-30 00:00:00,1.48%,2033028759,2018-07-03 01:26:17
8,287,2,Bank Of New York Mellon Corporation,10229528,2017-12-30 00:00:00,1.29%,1770731359,2018-07-03 01:26:17
9,287,2,Wells Fargo & Company,10190256,2017-12-30 00:00:00,1.28%,1763933375,2018-07-03 01:26:17
0,287,2,Vanguard Total Stock Market Index Fund,18761824,2017-06-29 00:00:00,2.36%,2884067608,2018-07-03 01:26:17
1,287,2,Vanguard 500 Index Fund,12880312,2017-06-29 00:00:00,1.62%,1979961576,2018-07-03 01:26:17
2,287,2,Income Fund of America Inc,12118965,2017-12-30 00:00:00,1.53%,2097792915,2018-07-03 01:26:17
3,287,2,SPDR S&P 500 ETF Trust,10133931,2018-01-30 00:00:00,1.28%,1801508957,2018-07-03 01:26:17
4,287,2,Vanguard Institutional Index Fund-Institutional Index Fund,8944085,2017-06-29 00:00:00,1.13%,1374884757,2018-07-03 01:26:17
5,287,2,SPDR Dow Jones Industrial Average ETF,6613836,2018-01-30 00:00:00,0.83%,1175741653,2018-07-03 01:26:17
6,287,2,Vanguard Growth Index Fund,5187758,2017-06-29 00:00:00,0.65%,797462166,2018-07-03 01:26:17
7,287,2,iShares Core S&P 500 ETF,5170216,2018-01-30 00:00:00,0.65%,919109320,2018-07-03 01:26:17
8,287,2,Fidelity 500 Index Fund,4927744,2018-01-30 00:00:00,0.62%,876005071,2018-07-03 01:26:17
9,287,2,Fidelity Contrafund Inc,4261073,2018-01-30 00:00:00,0.54%,757490965,2018-07-03 01:26:17
