,instrument_id,data_vendor_id,Holder,Shares,date_reported,percent_out,Value,refreshed_at
0,294,2,"Vanguard Group, Inc. (The)",25547640,2017-12-30 00:00:00,10.90%,2263776395,2018-07-03 01:28:55
1,294,2,Price (T.Rowe) Associates Inc,20174568,2017-12-30 00:00:00,8.61%,1787668482,2018-07-03 01:28:55
2,294,2,Blackrock Inc.,15509246,2017-12-30 00:00:00,6.62%,1374274297,2018-07-03 01:28:55
3,294,2,Janus Henderson Group PLC,10128727,2017-12-30 00:00:00,4.32%,897506505,2018-07-03 01:28:55
4,294,2,Wells Fargo & Company,9512301,2017-12-30 00:00:00,4.06%,842884997,2018-07-03 01:28:55
5,294,2,JP Morgan Chase & Company,9330605,2017-12-30 00:00:00,3.98%,826784914,2018-07-03 01:28:55
6,294,2,State Street Corporation,8931049,2017-12-30 00:00:00,3.81%,791380257,2018-07-03 01:28:55
7,294,2,"Wellington Management Company, LLP",7386352,2017-12-30 00:00:00,3.15%,654504655,2018-07-03 01:28:55
8,294,2,"Principal Financial Group, Inc.",5592579,2017-12-30 00:00:00,2.39%,495558428,2018-07-03 01:28:55
9,294,2,"Aristotle Capital Management, LLC",4816895,2017-12-30 00:00:00,2.06%,426825068,2018-07-03 01:28:55
0,294,2,Price (T.Rowe) Mid Cap Growth Fund,6000000,2017-12-30 00:00:00,2.56%,531660003,2018-07-03 01:28:55
1,294,2,Vanguard Mid-Cap Index Fund,5348081,2017-06-29 00:00:00,2.28%,420947450,2018-07-03 01:28:55
2,294,2,Vanguard Total Stock Market Index Fund,4962764,2017-06-29 00:00:00,2.12%,390619149,2018-07-03 01:28:55
3,294,2,Vanguard 500 Index Fund,3619575,2017-06-29 00:00:00,1.54%,284896744,2018-07-03 01:28:55
4,294,2,Janus Henderson Enterprise Fund,3319856,2017-12-30 00:00:00,1.42%,294172442,2018-07-03 01:28:55
5,294,2,SPDR S&P 500 ETF Trust,2972305,2018-01-30 00:00:00,1.27%,287956900,2018-07-03 01:28:55
6,294,2,Vanguard Institutional Index Fund-Institutional Index Fund,2519647,2017-06-29 00:00:00,1.08%,198321413,2018-07-03 01:28:55
7,294,2,Principal Mid Cap Fund,2449805,2018-01-30 00:00:00,1.05%,237337101,2018-07-03 01:28:55
8,294,2,Vanguard Selected Value Fund,2250200,2017-07-30 00:00:00,0.96%,181591133,2018-07-03 01:28:55
9,294,2,JP Morgan U.S. Equity Fund,1930440,2018-01-30 00:00:00,0.82%,187021021,2018-07-03 01:28:55
