,instrument_id,data_vendor_id,Holder,Shares,date_reported,percent_out,Value,refreshed_at
0,296,2,"Vanguard Group, Inc. (The)",99896791,2017-12-30 00:00:00,6.72%,4301555957,2018-07-03 01:29:38
1,296,2,Blackrock Inc.,84916190,2017-12-30 00:00:00,5.71%,3656491258,2018-07-03 01:29:38
2,296,2,State Street Corporation,62317826,2017-12-30 00:00:00,4.19%,2683405673,2018-07-03 01:29:38
3,296,2,"Trian Fund Management, LP",42504701,2017-12-30 00:00:00,2.86%,1830252483,2018-07-03 01:29:38
4,296,2,JP Morgan Chase & Company,36826661,2017-12-30 00:00:00,2.48%,1585756073,2018-07-03 01:29:38
5,296,2,Invesco Ltd.,29642191,2017-12-30 00:00:00,1.99%,1276392785,2018-07-03 01:29:38
6,296,2,"Pershing Square Capital Management, L.P.",23256402,2017-12-30 00:00:00,1.56%,1001420702,2018-07-03 01:29:38
7,296,2,Lindsell Train Limited,22097960,2017-12-30 00:00:00,1.49%,951538187,2018-07-03 01:29:38
8,296,2,Northern Trust Corporation,21279868,2017-12-30 00:00:00,1.43%,916311145,2018-07-03 01:29:38
9,296,2,"FMR, LLC",20031199,2017-12-30 00:00:00,1.35%,862543456,2018-07-03 01:29:38
0,296,2,Vanguard Total Stock Market Index Fund,33178575,2017-06-29 00:00:00,2.23%,1458861983,2018-07-03 01:29:38
1,296,2,Vanguard 500 Index Fund,24012891,2017-06-29 00:00:00,1.61%,1055846846,2018-07-03 01:29:38
2,296,2,SPDR S&P 500 ETF Trust,19082248,2018-01-30 00:00:00,1.28%,849923343,2018-07-03 01:29:38
3,296,2,Vanguard Institutional Index Fund-Institutional Index Fund,16651830,2017-06-29 00:00:00,1.12%,732180985,2018-07-03 01:29:38
4,296,2,"Powershares Exhg Traded Fd Tr-Powershares QQQ Tr, Series 1",12072662,2018-01-30 00:00:00,0.81%,537716376,2018-07-03 01:29:38
5,296,2,Parnassus Core Equity Fund,10146956,2017-09-29 00:00:00,0.68%,411662001,2018-07-03 01:29:38
6,296,2,Investment Company Of America,9875000,2017-12-30 00:00:00,0.66%,425217513,2018-07-03 01:29:38
7,296,2,iShares Core S&P 500 ETF,9691834,2018-01-30 00:00:00,0.65%,431674295,2018-07-03 01:29:38
8,296,2,Delaware Group Equity Funds II- Value Fund,9590660,2017-08-30 00:00:00,0.64%,396094250,2018-07-03 01:29:38
9,296,2,Fidelity 500 Index Fund,9237449,2018-01-30 00:00:00,0.62%,411435986,2018-07-03 01:29:38
